intersection_id,phase_id,cycle_s,offset_s,total_lost_time_s,sum_critical_ratio,oversaturated,cycle_clamped,critical_ratio,green_s,intergreen_s,yellow_s,all_red_s
A1,1,78.689,0,10.0,0.745833,False,False,0.497222,45.792,6.0,3.0,3.0
A1,2,78.689,0,10.0,0.745833,False,False,0.248611,22.896,4.0,3.0,1.0
A2,1,78.689,0,10.0,0.745833,False,False,0.497222,45.792,6.0,3.0,3.0
A2,2,78.689,0,10.0,0.745833,False,False,0.248611,22.896,4.0,3.0,1.0
A3,1,78.689,0,10.0,0.745833,False,False,0.497222,45.792,6.0,3.0,3.0
A3,2,78.689,0,10.0,0.745833,False,False,0.248611,22.896,4.0,3.0,1.0
B1,1,40.0,0,8.0,0.497222,False,True,0.372917,24.0,4.0,3.0,1.0
B1,2,40.0,0,8.0,0.497222,False,True,0.124306,8.0,4.0,3.0,1.0
B2,1,40.0,0,8.0,0.497222,False,True,0.372917,24.0,4.0,3.0,1.0
B2,2,40.0,0,8.0,0.497222,False,True,0.124306,8.0,4.0,3.0,1.0
B3,1,40.0,0,8.0,0.497222,False,True,0.372917,24.0,4.0,3.0,1.0
B3,2,40.0,0,8.0,0.497222,False,True,0.124306,8.0,4.0,3.0,1.0
C1,1,40.0,0,8.0,0.497222,False,True,0.372917,24.0,4.0,3.0,1.0
C1,2,40.0,0,8.0,0.497222,False,True,0.124306,8.0,4.0,3.0,1.0
C2,1,40.0,0,8.0,0.497222,False,True,0.372917,24.0,4.0,3.0,1.0
C2,2,40.0,0,8.0,0.497222,False,True,0.124306,8.0,4.0,3.0,1.0
C3,1,40.0,0,8.0,0.497222,False,True,0.372917,24.0,4.0,3.0,1.0
C3,2,40.0,0,8.0,0.497222,False,True,0.124306,8.0,4.0,3.0,1.0
