reward,steps,avg_delay,avg_queue,throughput,emergency_stops,episode,timestamp
-367.11016975308644,719,10.8384,9.8095,4978,0,1,2026-07-02T20:31:41.791902
-400.2761728395058,719,16.1431,10.8333,5060,0,2,2026-07-02T20:34:23.068357
-414.9227160493831,719,21.6346,11.0476,5098,0,3,2026-07-02T20:37:05.680488
-375.8978086419754,719,15.5998,10.5,5052,0,4,2026-07-02T20:38:56.972641
-370.5716049382718,719,19.6871,10.2381,5055,0,5,2026-07-02T20:41:32.756490
-379.1962500000001,719,15.7635,10.3333,5137,0,6,2026-07-02T20:44:12.397887
-363.9764043209874,719,15.0483,11.0952,5103,0,7,2026-07-02T20:46:58.287957
-412.3620370370371,719,50.5394,11.3095,5140,0,8,2026-07-02T20:49:43.363998
-406.79651234567876,719,24.7157,10.7143,5151,0,9,2026-07-02T20:51:44.745550
-328.0316820987654,719,11.5643,10.0,5059,0,10,2026-07-02T20:54:27.849863
-367.7926080246913,719,9.8754,7.7143,5135,0,11,2026-07-02T20:57:04.292104
-353.7207716049385,719,11.0761,9.0,5115,0,12,2026-07-02T20:59:47.600016
-360.34859567901276,719,13.0251,10.2381,5116,0,13,2026-07-02T21:02:28.162289
-388.62847222222257,719,36.7292,11.9286,5101,0,14,2026-07-02T21:05:08.467134
-390.08765432098744,719,20.2155,11.8095,5136,0,15,2026-07-02T21:07:51.480419
