reward,steps,avg_delay,avg_queue,throughput,emergency_stops,episode,timestamp
-381.5295370370371,719,10.0114,8.2143,5181,0,1,2026-07-02T21:33:36.258277
-387.91128086419747,719,21.5195,9.7619,5081,0,2,2026-07-02T21:36:29.616148
-339.39495370370383,719,12.5901,9.4048,5163,0,3,2026-07-02T21:39:21.262014
-408.54915123456806,719,11.0311,9.0476,5135,0,4,2026-07-02T21:41:32.819516
-331.99581790123483,719,14.7754,9.381,5178,0,5,2026-07-02T21:44:23.812577
-366.3454938271606,719,15.2752,10.9286,5114,0,6,2026-07-02T21:47:17.006909
-342.16478395061745,719,17.898,9.8571,5100,0,7,2026-07-02T21:50:11.288148
-320.1145987654321,719,17.0895,10.3333,5178,0,8,2026-07-02T21:52:56.294913
-367.70047839506196,719,15.678,9.7143,5213,0,9,2026-07-02T21:55:35.809301
-342.6110030864196,719,11.2818,8.881,5106,0,10,2026-07-02T21:58:03.634030
-362.46731481481464,719,31.338,9.8095,5113,0,11,2026-07-02T22:00:58.299326
-393.0907716049384,719,19.0375,10.9286,5175,0,12,2026-07-02T22:03:50.694740
-378.59935185185174,719,9.692,9.8571,5147,0,13,2026-07-02T22:06:40.437028
-313.9206481481485,719,22.1263,10.6667,5048,0,14,2026-07-02T22:09:33.665669
-348.1782561728394,719,14.8362,9.7857,5208,0,15,2026-07-02T22:12:14.011715
