reward,steps,avg_delay,avg_queue,throughput,emergency_stops,episode,timestamp
-202.89483024691367,719,7.9785,3.8571,4404,0,1,2026-06-13T20:01:57.925754
-174.7793518518519,719,11.7269,4.3571,4399,0,2,2026-06-13T20:02:40.660957
-175.39961419753087,719,7.5838,3.381,4410,0,3,2026-06-13T20:03:22.520466
-197.02510802469124,719,13.0469,4.6429,4391,0,4,2026-06-13T20:04:04.079572
-190.9257407407406,719,17.0568,5.3571,4329,0,5,2026-06-13T20:04:44.948025
-230.92117283950623,719,19.9216,4.6429,4404,0,6,2026-06-13T20:05:26.149974
-195.06881172839502,719,11.2961,4.7143,4386,0,7,2026-06-13T20:06:12.677768
-234.69134259259255,719,38.542,4.4524,4395,0,8,2026-06-13T20:07:53.261777
-174.5072376543211,719,5.3779,4.0714,4415,0,9,2026-06-13T20:09:33.357296
-194.10904320987643,719,16.3736,5.2619,4394,0,10,2026-06-13T20:11:08.434434
-217.05405864197513,719,17.3416,5.5238,4407,0,11,2026-06-13T20:12:46.274233
-190.55317901234554,719,37.329,7.381,4395,0,12,2026-06-13T20:14:25.859700
-210.5041666666668,719,13.8791,3.5952,4354,0,13,2026-06-13T20:16:02.515268
-175.22158950617273,719,8.8647,4.1667,4430,0,14,2026-06-13T20:17:42.743632
-172.58416666666685,719,12.6924,4.1905,4376,0,15,2026-06-13T20:19:23.078089
