reward,steps,avg_delay,avg_queue,throughput,emergency_stops,episode,timestamp
-194.17785493827162,719,19.3363,4.6667,4312,0,1,2026-06-13T20:21:10.047839
-180.79274691358017,719,7.0965,3.5476,4377,0,2,2026-06-13T20:22:49.228997
-215.096049382716,719,19.0181,4.5952,4360,0,3,2026-06-13T20:24:29.628627
-188.0059413580248,719,3.8172,2.4286,4352,0,4,2026-06-13T20:26:11.034662
-177.1029629629629,719,5.8913,3.1667,4372,0,5,2026-06-13T20:27:50.568776
-264.75788580246933,719,67.5173,5.7143,4368,0,6,2026-06-13T20:29:29.468923
-183.37774691358044,719,15.4326,5.3095,4410,0,7,2026-06-13T20:31:09.594715
-175.56334876543207,719,9.1585,3.5952,4359,0,8,2026-06-13T20:32:52.277309
-187.42842592592604,719,9.0764,5.1667,4347,0,9,2026-06-13T20:34:24.859531
-194.02658950617302,719,9.6447,4.6667,4369,0,10,2026-06-13T20:36:02.072360
-168.4131172839504,719,13.993,5.2381,4388,0,11,2026-06-13T20:37:34.685804
-202.56134259259267,719,10.316,4.1429,4393,0,12,2026-06-13T20:39:11.011400
-178.14438271604942,719,10.9118,4.0714,4384,0,13,2026-06-13T20:40:53.631193
-181.718688271605,719,12.4735,3.9286,4354,0,14,2026-06-13T20:42:34.945082
-199.12916666666672,719,19.0193,5.9762,4389,0,15,2026-06-13T20:44:13.685940
