reward,steps,avg_delay,avg_queue,throughput,emergency_stops,episode,timestamp
-148.82972222222236,719,77.2434,4.9306,4173,0,1,2026-07-01T09:20:09.974039
-125.24145833333317,719,30.7027,4.4722,4176,0,2,2026-07-01T09:21:41.150447
-149.68518518518505,719,55.9622,5.0556,4164,0,3,2026-07-01T09:23:12.118473
-125.48993055555562,719,39.2003,5.7639,4139,0,4,2026-07-01T09:24:42.884497
-3513.992453703705,719,1242.1044,11.3056,2552,0,5,2026-07-01T09:26:18.775427
-109.92506944444438,719,17.301,4.5278,4120,0,6,2026-07-01T09:27:51.123255
-127.37472222222225,719,41.8816,5.2361,4045,0,7,2026-07-01T09:29:24.588081
-1072.1823842592594,719,612.7525,12.2083,3343,0,8,2026-07-01T09:30:56.184278
-111.6338425925926,719,7.1259,3.7639,4082,0,9,2026-07-01T09:32:29.009175
-146.1081481481481,719,59.6667,4.5556,4107,0,10,2026-07-01T09:34:03.374371
-6136.913796296294,719,1663.2994,11.5139,2151,0,11,2026-07-01T09:35:40.067989
-6979.479004629627,719,1788.4557,11.5694,2113,0,12,2026-07-01T09:37:16.649249
-5642.849259259258,719,1546.474,12.0417,2293,0,13,2026-07-01T09:38:53.153187
-121.02145833333338,719,27.5552,4.75,4079,0,14,2026-07-01T09:40:24.858695
-130.7153935185185,719,53.0683,4.4444,4135,0,15,2026-07-01T09:41:55.582429
