reward,epsilon,steps,avg_delay,avg_queue,throughput,arrived_vehicles,departed_vehicles,num_vehicles,emergency_stops,teleport_started,teleport_ended,recovery_active,local_safety_active_tls,local_safety_overrides,episode_mean_avg_delay,episode_max_avg_delay,episode_mean_avg_queue,episode_max_avg_queue,episode_mean_num_vehicles,episode_max_num_vehicles,episode_recovery_steps,episode_local_safety_steps,episode_local_safety_overrides,episode_peak_top_tl,episode_peak_top_tl_queue,episode_peak_top_tl_waiting,episode_peak_top_tl_phase,episode_peak_top_tl_phase_duration,episode_peak_top_tl_action,episode_peak_top_lane,episode_peak_top_lane_queue,episode_peak_top_lane_waiting,loss_total,loss_rl,loss_pred,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops,eval_teleport_started,eval_teleport_ended,eval_episode_mean_delay,eval_episode_max_delay,eval_episode_mean_queue,eval_episode_max_queue
-122.0996,0.768,719,1.6728,4.6429,5996,5996,6757,761,0,0,0,1.0,0,0,4.3269,29.7012,4.1172,15.1667,692.2601,1134.0,362,0,0,A2,336.0,15661.0,1,3,0,A1A2_1,185.0,7307.0,0.0282,0.0265,0.033,1,2026-05-29T07:11:01.901727,,,,,,,,,,,,
-73.2176,0.7373,719,4.8824,5.381,6074,6074,6746,672,0,0,0,0.0,0,0,2.5575,8.8963,3.2829,6.9286,695.3338,1162.0,385,0,0,A1,150.0,2444.0,1,3,0,W_A0A1_1,89.0,1541.0,0.0358,0.0341,0.0349,2,2026-05-29T07:13:31.338748,,,,,,,,,,,,
-111.505,0.7078,719,3.4137,4.2619,6006,6006,6782,776,0,0,0,1.0,0,0,3.5072,14.9827,4.2664,13.881,731.2086,1241.0,431,0,0,A2,204.0,6689.0,0,38,0,A1A2_1,84.0,3155.0,0.0276,0.0259,0.0346,3,2026-05-29T07:16:03.265464,,,,,,,,,,,,
-118.1903,0.6795,719,2.3113,2.7619,5995,5995,6750,755,0,0,0,1.0,0,0,4.2222,32.1854,4.1132,12.2619,715.1307,1123.0,425,0,0,A2,324.0,15987.0,0,38,0,A1A2_1,177.0,9547.0,0.0358,0.034,0.0349,4,2026-05-29T07:18:37.743189,,,,,,,,,,,,
-86.3844,0.6523,719,3.2284,4.4048,6055,6055,6843,788,0,1,1,1.0,0,0,2.931,16.9151,3.6616,9.0714,738.2128,1211.0,454,0,0,A2,183.0,3221.0,0,3,0,A3A2_1,45.0,1264.0,0.0388,0.0371,0.0343,5,2026-05-29T07:25:34.134902,-78.143,0.0,4.8246,4.3095,6067.0,0.0,0.0,0.0,2.9587,21.4936,3.3031,11.0
-84.0986,0.6262,719,5.9421,5.4524,6048,6048,6808,760,0,0,0,0.0,0,0,2.7585,15.2127,3.6671,8.0238,748.0584,1221.0,461,0,0,A1,234.0,6292.0,1,13,0,W_A0A1_1,95.0,2751.0,0.037,0.0353,0.0334,6,2026-05-29T07:29:02.400294,,,,,,,,,,,,
-95.1253,0.6012,719,1.1414,2.7857,5991,5991,6670,679,0,0,0,1.0,0,0,3.0812,14.5831,3.9658,10.7619,747.0668,1324.0,410,0,0,A2,212.0,7240.0,0,28,0,A1A2_1,117.0,4227.0,0.0371,0.0354,0.0327,7,2026-05-29T07:31:56.185547,,,,,,,,,,,,
-67.0876,0.5771,719,5.3438,4.3571,6032,6032,6768,736,0,0,0,0.0,0,0,2.3989,12.16,3.1527,6.6905,714.5939,1228.0,362,0,0,A1,145.0,5246.0,0,3,0,W_A0A1_1,82.0,4551.0,0.0404,0.0388,0.032,8,2026-05-29T07:34:40.841275,,,,,,,,,,,,
-64.9467,0.554,719,3.5962,3.2857,5983,5983,6763,780,0,0,0,1.0,0,0,2.3412,12.834,3.0923,9.4048,661.7678,1062.0,296,0,0,A2,209.0,8749.0,1,13,0,A1A2_1,109.0,5250.0,0.0392,0.0377,0.0312,9,2026-05-29T07:40:39.859817,,,,,,,,,,,,
-194.613,0.5319,719,2.9912,3.7619,5912,5912,6708,796,0,0,0,1.0,0,0,6.2379,37.7787,5.0625,16.619,769.6982,1311.0,406,0,0,A2,386.0,29405.0,0,18,0,A1A2_1,173.0,14532.0,0.0423,0.0408,0.0307,10,2026-05-29T07:53:30.885414,-69.569,0.0,4.0883,3.0238,6034.0,0.0,0.0,0.0,2.675,9.7215,3.3493,8.0
