reward,epsilon,steps,avg_delay,avg_queue,throughput,arrived_vehicles,departed_vehicles,num_vehicles,emergency_stops,teleport_started,teleport_ended,recovery_active,local_safety_active_tls,local_safety_overrides,episode_mean_avg_delay,episode_max_avg_delay,episode_mean_avg_queue,episode_max_avg_queue,episode_mean_num_vehicles,episode_max_num_vehicles,episode_recovery_steps,episode_local_safety_steps,episode_local_safety_overrides,episode_peak_top_tl,episode_peak_top_tl_queue,episode_peak_top_tl_waiting,episode_peak_top_tl_phase,episode_peak_top_tl_phase_duration,episode_peak_top_tl_action,episode_peak_top_lane,episode_peak_top_lane_queue,episode_peak_top_lane_waiting,loss_total,loss_rl,loss_pred,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops,eval_teleport_started,eval_teleport_ended,eval_episode_mean_delay,eval_episode_max_delay,eval_episode_mean_queue,eval_episode_max_queue
-74.705987654321,0.784,719,1.2136498516320475,2.4285714285714284,4784,4784,5458,674,0,0,0,1.0,0,0,2.1919407844543457,11.599711418151855,2.4204251766204834,6.333333492279053,545.3115234375,719.0,425,0,0,A3,170.0,7419.0,0,32,0,A2A3_1,96.0,3474.0,0.00814278344673434,0.006388559504823827,0.03508447817095169,1,2026-05-25T06:36:18.073250,,,,,,,,,,,,
-57.525740740740716,0.76832,719,0.9821428571428571,1.5952380952380953,4875,4875,5491,616,0,0,0,1.0,0,0,1.6426053047180176,7.972222328186035,1.9624478816986084,4.404761791229248,524.44091796875,653.0,508,0,0,A3,100.0,1858.0,1,27,1,A2A3_1,48.0,1035.0,0.00766866094522147,0.006271979827252482,0.027933621763540573,2,2026-05-25T06:48:05.700387,,,,,,,,,,,,
-67.13837962962967,0.7529536,719,1.3885542168674698,2.1904761904761907,4793,4793,5457,664,0,0,0,1.0,0,0,2.203707695007324,15.693586349487305,2.202695369720459,5.261904716491699,512.215576171875,702.0,400,0,0,A1,147.0,6586.0,0,22,0,W_A0A1_1,85.0,3968.0,0.00730384458491115,0.006102846728143009,0.024019956303778543,3,2026-05-25T06:59:29.034272,,,,,,,,,,,,
-69.68396604938258,0.737894528,719,2.0415282392026577,2.4047619047619047,4863,4863,5465,602,0,0,0,1.0,0,0,2.140641689300537,13.261569023132324,2.2639248371124268,5.047618865966797,549.5813598632812,714.0,466,0,0,A2,145.0,3359.0,0,17,0,A1A2_1,89.0,1496.0,0.009388787863628423,0.008282716713407917,0.022121422839906684,4,2026-05-25T07:11:59.541638,,,,,,,,,,,,
-57.0251388888889,0.72313663744,719,1.8080808080808082,1.9285714285714286,4892,4892,5486,594,0,0,0,1.0,0,0,1.6588197946548462,6.4375,1.9616199731826782,4.785714149475098,504.509033203125,649.0,416,0,0,A3,96.0,2307.0,0,22,0,A2A3_1,67.0,1837.0,0.010909585078196374,0.009845571284491947,0.02128027588315567,5,2026-05-25T07:34:24.608250,-63.761574074074154,0.0,1.2412746585735963,1.6666666666666667,5036.0,0.0,0.0,0.0,1.7969337701797485,8.548291206359863,2.072223424911499,5.0
-70.2858179012346,0.7086739046912,719,2.544049459041731,2.9761904761904763,4905,4905,5552,647,0,0,0,1.0,0,0,2.1399104595184326,17.6362361907959,2.193390369415283,5.9285712242126465,542.1140747070312,735.0,548,0,0,A3,181.0,12198.0,0,7,0,A2A3_1,116.0,8370.0,0.012634457880436795,0.01159877302410063,0.020713697383193213,6,2026-05-25T07:46:45.954787,,,,,,,,,,,,
-61.119212962962905,0.694500426597376,719,0.9668989547038328,1.5714285714285714,4940,4940,5514,574,0,0,0,0.0,0,0,1.8432810306549072,15.097029685974121,2.036426305770874,4.357142925262451,523.6383666992188,662.0,499,0,0,A2,111.0,7313.0,0,2,0,A1A2_1,69.0,4834.0,0.01534054350102727,0.014330025791463873,0.020210353781952316,7,2026-05-25T07:58:48.159054,,,,,,,,,,,,
-69.20030864197535,0.6806104180654284,719,1.3413461538461537,2.0714285714285716,4872,4872,5496,624,0,0,0,1.0,0,0,2.1476428508758545,20.8839111328125,2.25117564201355,5.523809432983398,540.24755859375,714.0,398,0,0,A1,149.0,4419.0,0,27,0,W_A0A1_1,100.0,2746.0,0.018119163676495346,0.01713060311874652,0.01977121155652035,8,2026-05-25T08:11:09.793891,,,,,,,,,,,,
-62.67688271604942,0.6669982097041198,719,0.8070444104134763,1.7857142857142858,4808,4808,5461,653,0,0,0,1.0,0,0,1.671732783317566,5.385146617889404,2.171269655227661,5.11904764175415,554.702392578125,713.0,363,0,0,A3,111.0,1337.0,0,2,0,A2A3_1,65.0,1024.0,0.020093794890079696,0.019124943601104828,0.01937702646082648,9,2026-05-25T08:23:30.365292,,,,,,,,,,,,
-65.00143518518522,0.6536582455100374,719,1.7866043613707165,2.3095238095238093,4814,4814,5456,642,0,1,1,1.0,0,0,1.9756126403808594,11.577825546264648,2.1306378841400146,4.261904716491699,525.7635498046875,675.0,428,0,0,A1,106.0,2680.0,0,17,0,W_A0A1_1,71.0,2005.0,0.021970978370700577,0.021021926517809465,0.0189810372028961,10,2026-05-25T08:43:37.818308,-63.4063888888889,0.0,0.7168949771689498,2.0238095238095237,5020.0,0.0,0.0,0.0,1.9522396326065063,17.798742294311523,1.9950659275054932,4.357142925262451
