reward,epsilon,steps,avg_delay,avg_queue,throughput,arrived_vehicles,departed_vehicles,num_vehicles,emergency_stops,teleport_started,teleport_ended,recovery_active,local_safety_active_tls,local_safety_overrides,episode_mean_avg_delay,episode_max_avg_delay,episode_mean_avg_queue,episode_max_avg_queue,episode_mean_num_vehicles,episode_max_num_vehicles,episode_recovery_steps,episode_local_safety_steps,episode_local_safety_overrides,episode_peak_top_tl,episode_peak_top_tl_queue,episode_peak_top_tl_waiting,episode_peak_top_tl_phase,episode_peak_top_tl_phase_duration,episode_peak_top_tl_action,episode_peak_top_lane,episode_peak_top_lane_queue,episode_peak_top_lane_waiting,loss_total,loss_rl,loss_pred,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops,eval_teleport_started,eval_teleport_ended,eval_episode_mean_delay,eval_episode_max_delay,eval_episode_mean_queue,eval_episode_max_queue
-62.0843,0.784,719,0.9363,2.7143,4426,4426,5054,628,0,0,0,0.0,0,0,3.2039,22.3005,3.393,6.6905,568.1196,712.0,0,0,0,A1,147.0,4753.0,0,2,0,W_A0A1_1,91.0,3729.0,0.011,0.0093,0.0341,1,2026-05-26T07:55:34.467932,,,,,,,,,,,,
-76.188,0.7683,719,1.377,2.9048,4367,4367,5070,703,0,2,2,0.0,0,0,4.0336,27.0612,3.6189,8.9762,590.9541,729.0,0,0,0,A1,213.0,5975.0,0,2,0,W_A0A1_1,117.0,2656.0,0.0145,0.0131,0.0272,2,2026-05-26T07:57:48.482482,,,,,,,,,,,,
-50.4325,0.753,719,4.2197,5.6667,4518,4518,5228,710,0,0,0,0.0,0,0,2.4235,7.3345,3.0914,6.0,573.6481,768.0,0,0,0,A2,120.0,1524.0,1,32,1,A1A2_1,67.0,838.0,0.0118,0.0105,0.026,3,2026-05-26T07:59:57.748152,,,,,,,,,,,,
-49.9724,0.7379,719,1.4844,3.4524,4524,4524,5261,737,0,0,0,0.0,0,0,2.4338,6.2878,3.035,5.7381,571.5772,749.0,0,0,0,A1,137.0,1821.0,0,2,0,W_A0A1_1,99.0,1553.0,0.0124,0.0111,0.0255,4,2026-05-26T08:02:04.236550,,,,,,,,,,,,
-47.9646,0.7231,719,0.6935,1.6429,4552,4552,5234,682,0,0,0,0.0,0,0,2.4048,7.4047,2.8959,5.4524,546.7274,689.0,0,0,0,A2,118.0,1405.0,1,22,1,A1A2_1,70.0,956.0,0.013,0.0117,0.0243,5,2026-05-26T08:08:03.562349,-41.9155,0.0,0.4332,1.2857,5080.0,0.0,0.0,0.0,1.9185,16.7534,2.2538,4.3571
-47.8017,0.7087,719,1.0606,3.0952,4579,4579,5322,743,0,0,0,0.0,0,0,2.1308,5.892,3.0729,5.6429,595.4117,782.0,0,0,0,A2,118.0,1141.0,0,2,0,A1A2_1,73.0,776.0,0.0135,0.0123,0.0234,6,2026-05-26T08:10:55.665763,,,,,,,,,,,,
-47.2066,0.6945,719,0.5955,1.4048,4530,4530,5326,796,0,0,0,0.0,0,0,2.3878,13.2247,2.7962,7.0476,548.484,800.0,0,0,0,A3,148.0,4025.0,1,22,1,A2A3_1,87.0,3241.0,0.0143,0.0132,0.0224,7,2026-05-26T08:13:31.430479,,,,,,,,,,,,
-49.1518,0.6806,719,14.398,7.5,4704,4704,5410,706,0,0,0,0.0,0,0,2.3772,15.6952,2.8236,8.6429,568.1002,740.0,0,0,0,A2,238.0,9394.0,1,27,1,A1A2_1,132.0,5324.0,0.0167,0.0156,0.0216,8,2026-05-26T08:16:56.823352,,,,,,,,,,,,
-44.6233,0.667,719,1.7597,4.7381,4596,4596,5370,774,0,0,0,0.0,0,0,2.081,11.0659,2.8466,5.2619,575.2976,785.0,0,0,0,A2,132.0,867.0,1,12,0,A1A2_1,69.0,495.0,0.0181,0.0171,0.0208,9,2026-05-26T08:19:34.314763,,,,,,,,,,,,
-55.2456,0.6537,719,3.443,3.9286,4546,4546,5248,702,0,0,0,0.0,0,0,2.6564,18.3609,3.1348,9.2619,610.5939,769.0,0,0,0,A2,165.0,7310.0,0,2,0,A1A2_1,84.0,3921.0,0.0181,0.0171,0.0203,10,2026-05-26T08:24:11.373517,-38.1704,0.0,1.0531,1.7381,5225.0,0.0,0.0,0.0,1.8044,9.4451,1.9621,4.2619
