reward,epsilon,steps,avg_delay,avg_queue,throughput,arrived_vehicles,departed_vehicles,num_vehicles,emergency_stops,teleport_started,teleport_ended,recovery_active,local_safety_active_tls,local_safety_overrides,episode_mean_avg_delay,episode_max_avg_delay,episode_mean_avg_queue,episode_max_avg_queue,episode_mean_num_vehicles,episode_max_num_vehicles,episode_recovery_steps,episode_local_safety_steps,episode_local_safety_overrides,episode_peak_top_tl,episode_peak_top_tl_queue,episode_peak_top_tl_waiting,episode_peak_top_tl_phase,episode_peak_top_tl_phase_duration,episode_peak_top_tl_action,episode_peak_top_lane,episode_peak_top_lane_queue,episode_peak_top_lane_waiting,loss_total,loss_rl,loss_pred,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops,eval_teleport_started,eval_teleport_ended,eval_episode_mean_delay,eval_episode_max_delay,eval_episode_mean_queue,eval_episode_max_queue
-55.4868,0.784,719,0.8767,2.8571,4413,4413,5151,738,0,0,0,0.0,0,0,2.7829,16.2967,3.2214,6.7381,567.5619,744.0,42,0,0,A1,160.0,2141.0,1,22,1,W_A0A1_1,104.0,1587.0,0.0085,0.0068,0.0341,1,2026-05-26T08:29:16.757265,,,,,,,,,,,,
-52.3076,0.7683,719,1.733,2.8571,4558,4558,5191,633,0,0,0,0.0,0,0,2.6355,16.6337,3.0762,6.0952,557.0862,710.0,21,0,0,A1,126.0,4013.0,0,17,0,W_A0A1_1,103.0,3822.0,0.006,0.0047,0.0245,2,2026-05-26T08:31:55.572645,,,,,,,,,,,,
-46.2266,0.753,719,2.9749,4.1429,4580,4580,5177,597,0,0,0,0.0,0,0,2.5324,18.2075,2.6834,5.881,504.0473,617.0,15,0,0,A1,119.0,1492.0,1,17,1,W_A0A1_1,70.0,970.0,0.0042,0.0031,0.0203,3,2026-05-26T08:37:28.832362,,,,,,,,,,,,
-49.5509,0.7379,719,0.9038,2.9524,4515,4515,5201,686,0,0,0,0.0,0,0,2.3764,8.4891,3.0831,5.4762,578.8721,769.0,0,0,0,A1,145.0,2385.0,1,12,0,W_A0A1_1,82.0,1726.0,0.0051,0.0042,0.0185,4,2026-05-26T08:43:41.939139,,,,,,,,,,,,
-51.1539,0.7231,719,2.359,3.2857,4590,4590,5303,713,0,0,0,0.0,0,0,2.4289,15.286,3.0525,6.4524,580.306,739.0,36,0,0,A3,160.0,7377.0,1,17,1,A2A3_1,93.0,4610.0,0.0063,0.0054,0.0177,5,2026-05-26T08:49:55.649393,-37.0901,0.0,0.6983,1.9524,5024.0,0.0,0.0,0.0,1.7139,17.1063,2.0867,4.3095
-60.056,0.7087,719,7.0072,4.4286,4538,4538,5230,692,0,0,0,0.0,0,0,3.2801,30.1484,3.0055,5.9286,559.8262,715.0,41,0,0,A2,164.0,15926.0,1,12,0,A1A2_1,91.0,9477.0,0.008,0.0071,0.0171,6,2026-05-26T08:52:23.098838,,,,,,,,,,,,
-58.444,0.6945,719,1.1743,2.7619,4599,4599,5253,654,0,0,0,0.0,0,0,3.2392,16.9544,3.0067,6.2619,535.879,671.0,62,0,0,A2,201.0,8620.0,0,12,0,A1A2_1,110.0,4744.0,0.009,0.0081,0.0168,7,2026-05-26T08:54:46.922593,,,,,,,,,,,,
-53.7886,0.6806,719,1.9347,3.0238,4633,4633,5337,704,0,0,0,0.0,0,0,2.8089,28.6548,2.8968,6.0714,576.0932,762.0,19,0,0,A2,171.0,3051.0,0,2,0,A1A2_1,99.0,2165.0,0.0114,0.0106,0.0164,8,2026-05-26T08:57:19.500032,,,,,,,,,,,,
-47.3486,0.667,719,1.0533,1.9524,4662,4662,5338,676,0,0,0,0.0,0,0,2.3656,10.3471,2.7656,5.881,561.0723,694.0,17,0,0,A3,119.0,1847.0,1,27,1,W_A0A1_1,66.0,2004.0,0.0127,0.0119,0.0161,9,2026-05-26T08:59:44.942094,,,,,,,,,,,,
-47.6384,0.6537,719,1.1664,2.7857,4622,4622,5301,679,0,0,0,0.0,0,0,2.4203,21.5628,2.7904,5.9524,547.1933,693.0,33,0,0,A3,147.0,3232.0,0,7,0,A2A3_1,89.0,1650.0,0.0131,0.0124,0.0158,10,2026-05-26T09:04:14.705198,-43.3244,0.0,2.19,3.0952,5063.0,0.0,1.0,1.0,1.9512,12.6384,2.2987,4.5952
