reward,epsilon,steps,avg_delay,avg_queue,throughput,arrived_vehicles,departed_vehicles,num_vehicles,emergency_stops,teleport_started,teleport_ended,recovery_active,local_safety_active_tls,local_safety_overrides,episode_mean_avg_delay,episode_max_avg_delay,episode_mean_avg_queue,episode_max_avg_queue,episode_mean_num_vehicles,episode_max_num_vehicles,episode_recovery_steps,episode_local_safety_steps,episode_local_safety_overrides,episode_peak_top_tl,episode_peak_top_tl_queue,episode_peak_top_tl_waiting,episode_peak_top_tl_phase,episode_peak_top_tl_phase_duration,episode_peak_top_tl_action,episode_peak_top_lane,episode_peak_top_lane_queue,episode_peak_top_lane_waiting,loss_total,loss_rl,loss_pred,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops,eval_teleport_started,eval_teleport_ended,eval_episode_mean_delay,eval_episode_max_delay,eval_episode_mean_queue,eval_episode_max_queue
-51.9687,0.784,719,1.204,2.7619,4483,4483,5184,701,0,0,0,0.0,0,0,2.6655,15.1494,2.9707,6.3571,564.5076,729.0,20,0,0,A3,158.0,7757.0,1,23,1,A2A3_1,80.0,4546.0,0.0062,0.0046,0.0314,1,2026-05-26T14:13:39.787482,,,,,,,,,,,,
-53.3948,0.7683,719,2.1519,3.4048,4540,4540,5185,645,0,0,0,0.0,0,0,2.723,13.9262,2.9996,5.7143,564.3811,718.0,40,0,0,A2,140.0,8239.0,1,13,0,A1A2_1,72.0,4678.0,0.0064,0.0051,0.0258,2,2026-05-26T14:16:58.503252,,,,,,,,,,,,
-45.5704,0.753,719,3.7065,3.6667,4541,4541,5311,770,0,1,1,0.0,0,0,2.2392,9.9319,2.7746,5.6429,556.5007,770.0,0,0,0,A2,157.0,6212.0,0,13,1,A1A2_1,85.0,3314.0,0.0058,0.0046,0.0244,3,2026-05-26T14:22:42.686140,,,,,,,,,,,,
-47.6046,0.7379,719,2.7669,3.5476,4628,4628,5310,682,0,0,0,1.0,0,0,2.3776,12.8316,2.8742,6.119,551.8998,706.0,50,0,0,A2,162.0,2273.0,0,3,0,A1A2_1,103.0,1596.0,0.007,0.0058,0.0234,4,2026-05-26T14:28:42.171756,,,,,,,,,,,,
-46.6681,0.7231,719,1.3605,2.9524,4634,4634,5333,699,0,0,0,0.0,0,0,2.4281,12.827,2.6321,5.4286,549.9902,719.0,0,0,0,A3,140.0,6323.0,1,13,1,A2A3_1,71.0,3509.0,0.0086,0.0075,0.022,5,2026-05-26T14:33:43.120946,-34.4659,0.0,1.1486,2.2619,5164.0,0.0,0.0,0.0,1.5672,5.15,1.8873,4.4524
-41.541,0.7087,719,1.1485,2.3571,4716,4716,5423,707,0,0,0,0.0,0,0,1.8611,6.6017,2.69,5.9524,590.3574,773.0,33,0,0,A2,150.0,2150.0,1,18,1,A1A2_1,90.0,1589.0,0.0097,0.0086,0.0209,6,2026-05-26T14:38:03.748076,,,,,,,,,,,,
-53.8446,0.6945,719,3.5626,4.0952,4618,4618,5393,775,0,0,0,0.0,0,0,2.5774,20.4883,3.074,5.8571,623.5967,853.0,19,0,0,A3,153.0,5228.0,0,3,0,A2A3_1,90.0,3062.0,0.011,0.01,0.0193,7,2026-05-26T14:40:41.688026,,,,,,,,,,,,
-40.1408,0.6806,719,3.563,5.0238,4779,4779,5509,730,0,0,0,0.0,0,0,1.7435,6.0631,2.5534,5.6905,596.0125,821.0,0,0,0,A2,127.0,1995.0,0,8,1,A1A2_1,76.0,1421.0,0.0127,0.0118,0.0179,8,2026-05-26T14:43:10.310631,,,,,,,,,,,,
-42.8135,0.667,719,1.4115,2.7857,4717,4717,5480,763,0,0,0,0.0,0,0,1.9198,10.6731,2.7008,6.0714,609.9249,818.0,31,0,0,A2,125.0,3704.0,1,13,0,A1A2_1,71.0,2435.0,0.0134,0.0126,0.017,9,2026-05-26T14:45:43.071569,,,,,,,,,,,,
-53.164,0.6537,719,1.8173,2.8095,4650,4650,5356,706,0,0,0,0.0,0,0,2.6132,18.4564,2.851,6.6905,579.0098,789.0,33,0,0,A3,201.0,11963.0,0,3,0,A2A3_1,134.0,7778.0,0.0138,0.013,0.0165,10,2026-05-26T14:49:57.317287,-35.5755,0.0,1.2315,2.5238,5264.0,0.0,0.0,0.0,1.7271,6.0425,1.7882,3.6905
-41.2446,0.6406,719,1.2216,2.9524,4660,4660,5418,758,0,0,0,0.0,0,0,1.9898,11.3713,2.5405,5.7143,568.968,758.0,0,0,0,A1,146.0,1816.0,0,3,0,W_A0A1_1,80.0,1108.0,0.0144,0.0136,0.0162,11,2026-05-26T14:52:55.689809,,,,,,,,,,,,
-46.1743,0.6278,719,1.4925,2.8333,4723,4723,5458,735,0,0,0,0.0,0,0,2.1329,16.3704,2.7857,5.6667,628.9541,833.0,0,0,0,A2,130.0,7545.0,1,13,0,A1A2_0,69.0,3935.0,0.0161,0.0153,0.0159,12,2026-05-26T14:59:24.279441,,,,,,,,,,,,
-36.1725,0.6152,719,0.8845,3.2143,4729,4729,5361,632,0,0,0,0.0,0,0,1.8376,6.4799,2.31,5.0,519.3533,658.0,0,0,0,A2,124.0,3172.0,1,28,1,A1A2_1,56.0,1819.0,0.0165,0.0158,0.0156,13,2026-05-26T15:04:56.752613,,,,,,,,,,,,
-45.2087,0.6029,719,1.4524,2.9286,4737,4737,5504,767,0,0,0,0.0,0,0,2.1361,18.1135,2.6062,5.9524,585.3102,807.0,17,0,0,A3,150.0,11221.0,0,13,1,A2A3_1,99.0,7250.0,0.0172,0.0164,0.0154,14,2026-05-26T15:10:50.992251,,,,,,,,,,,,
-33.9243,0.5909,719,1.355,2.9762,4841,4841,5548,707,0,0,0,0.0,0,0,1.5858,4.9922,2.2329,5.5952,547.8929,743.0,0,0,0,A2,137.0,1550.0,1,13,1,A1A2_1,87.0,1014.0,0.0169,0.0161,0.0151,15,2026-05-26T15:21:03.032503,-37.7226,0.0,1.1756,2.6667,5170.0,0.0,0.0,0.0,1.7244,7.0221,2.0068,4.5238
-45.7519,0.579,719,1.2747,2.6905,4779,4779,5478,699,0,0,0,0.0,0,0,2.2492,19.858,2.6786,5.9524,581.9597,741.0,15,0,0,A2,135.0,2292.0,1,23,1,A1A2_1,82.0,1934.0,0.0173,0.0166,0.0149,16,2026-05-26T15:26:31.141865,,,,,,,,,,,,
-40.8442,0.5675,719,2.265,4.0714,4780,4780,5546,766,0,0,0,0.0,0,0,1.9425,16.6618,2.419,7.5952,576.1002,828.0,33,0,0,A3,123.0,5189.0,0,8,0,A2A3_1,84.0,3932.0,0.0182,0.0174,0.0148,17,2026-05-26T15:32:36.158633,,,,,,,,,,,,
-36.0933,0.5561,719,1.1278,2.6429,4779,4779,5538,759,0,0,0,0.0,0,0,1.6931,7.8268,2.2769,4.8095,562.0084,759.0,0,0,0,A3,121.0,2354.0,1,13,1,A2A3_1,64.0,1393.0,0.0192,0.0185,0.0146,18,2026-05-26T15:38:26.134240,,,,,,,,,,,,
-44.0815,0.545,719,1.5063,2.6429,4764,4764,5475,711,0,0,0,0.0,0,0,2.5601,18.0822,2.2308,5.8095,514.4131,723.0,0,0,0,A2,175.0,9907.0,1,13,0,A1A2_1,102.0,6570.0,0.0198,0.0191,0.0145,19,2026-05-26T15:43:53.850795,,,,,,,,,,,,
-44.6276,0.5341,719,1.131,2.7381,4823,4823,5617,794,0,0,0,0.0,0,0,2.1604,16.4598,2.3936,6.3571,579.7288,819.0,19,0,0,A3,183.0,9072.0,1,23,1,A2A3_1,111.0,5609.0,0.0192,0.0184,0.0143,20,2026-05-26T15:54:50.739227,-43.754,0.0,1.0437,2.0714,4977.0,0.0,0.0,0.0,2.4317,18.0421,2.0605,6.2857
-34.4373,0.5234,719,0.7569,1.7857,4921,4921,5608,687,0,0,0,0.0,0,0,1.7413,11.2061,2.1168,4.7619,533.0723,702.0,0,0,0,A3,113.0,3539.0,1,13,0,A2A3_1,70.0,2292.0,0.0189,0.0182,0.0143,21,2026-05-26T16:00:27.159979,,,,,,,,,,,,
-47.2563,0.5129,719,0.8805,2.4762,4733,4733,5511,778,0,0,0,0.0,0,0,2.505,12.0045,2.4862,6.4524,525.6912,787.0,33,0,0,A2,179.0,7513.0,0,3,0,A1A2_1,94.0,4271.0,0.0197,0.019,0.0142,22,2026-05-26T16:06:02.557354,,,,,,,,,,,,
-31.885,0.5027,719,3.1469,4.381,4847,4847,5589,742,0,0,0,0.0,0,0,1.4368,4.7372,2.1552,4.5476,560.751,795.0,0,0,0,A1,114.0,1745.0,1,33,1,W_A0A1_1,64.0,975.0,0.021,0.0203,0.0141,23,2026-05-26T16:12:17.953369,,,,,,,,,,,,
-34.9937,0.4926,719,2.2673,2.619,4866,4866,5487,621,0,0,0,0.0,0,0,1.789,9.6893,2.1313,5.2381,513.1697,637.0,0,0,0,A1,119.0,1849.0,0,8,0,W_A0A1_1,87.0,1396.0,0.0226,0.0219,0.0141,24,2026-05-26T16:17:48.197777,,,,,,,,,,,,
-39.4186,0.4828,719,1.21,2.619,4820,4820,5501,681,0,0,0,0.0,0,0,1.9533,14.443,2.3401,5.119,549.5786,722.0,0,0,0,A2,132.0,8262.0,1,18,1,A1A2_1,65.0,4665.0,0.023,0.0223,0.0139,25,2026-05-26T16:27:41.142551,-26.9727,0.0,1.4683,2.7143,5268.0,0.0,0.0,0.0,1.3751,14.0386,1.5496,3.3095
-42.6737,0.4731,719,1.4302,3.2381,4781,4781,5583,802,0,0,0,0.0,0,0,1.9804,7.6211,2.4734,5.7619,575.1697,856.0,27,0,0,A3,159.0,4839.0,1,28,1,A2A3_1,84.0,2921.0,0.0256,0.0249,0.0139,26,2026-05-26T16:33:15.026238,,,,,,,,,,,,
-30.685,0.4637,719,2.13,3.4762,4955,4955,5701,746,0,0,0,0.0,0,0,1.414,6.4955,2.0189,3.9048,559.8679,749.0,0,0,0,A1,103.0,921.0,1,13,0,W_A0A1_1,62.0,615.0,0.0261,0.0255,0.0139,27,2026-05-26T16:39:39.389886,,,,,,,,,,,,
-35.4197,0.4544,719,1.1297,3.7619,4936,4936,5661,725,0,0,0,0.0,0,0,1.6333,10.9745,2.221,5.0952,568.8721,776.0,0,0,0,A3,123.0,6917.0,1,23,1,A2A3_1,57.0,3574.0,0.0271,0.0264,0.0138,28,2026-05-26T16:46:05.316457,,,,,,,,,,,,
-32.0079,0.4453,719,1.4141,2.0952,4971,4971,5640,669,0,0,0,0.0,0,0,1.6264,12.0446,2.0182,4.6429,515.6787,669.0,0,0,0,A2,104.0,1384.0,1,18,1,A1A2_1,51.0,745.0,0.0269,0.0262,0.0137,29,2026-05-26T16:52:14.052214,,,,,,,,,,,,
-46.2093,0.4364,719,1.3997,2.0952,4955,4955,5588,633,0,0,0,0.0,0,0,2.3616,12.5738,2.3024,8.0952,521.9764,733.0,65,0,0,A2,281.0,8103.0,1,13,0,A1A2_1,167.0,5680.0,0.0263,0.0256,0.0137,30,2026-05-26T17:04:20.274623,-25.2146,0.0,0.5268,2.0714,5164.0,0.0,0.0,0.0,1.0974,7.4744,1.616,3.8333
