reward,epsilon,steps,avg_delay,avg_queue,throughput,arrived_vehicles,departed_vehicles,num_vehicles,emergency_stops,teleport_started,teleport_ended,recovery_active,local_safety_active_tls,local_safety_overrides,episode_mean_avg_delay,episode_max_avg_delay,episode_mean_avg_queue,episode_max_avg_queue,episode_mean_num_vehicles,episode_max_num_vehicles,episode_recovery_steps,episode_local_safety_steps,episode_local_safety_overrides,episode_peak_top_tl,episode_peak_top_tl_queue,episode_peak_top_tl_waiting,episode_peak_top_tl_phase,episode_peak_top_tl_phase_duration,episode_peak_top_tl_action,episode_peak_top_lane,episode_peak_top_lane_queue,episode_peak_top_lane_waiting,loss_total,loss_rl,loss_pred,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops,eval_teleport_started,eval_teleport_ended,eval_episode_mean_delay,eval_episode_max_delay,eval_episode_mean_queue,eval_episode_max_queue
-43.0541,0.784,719,1.4084,2.4524,4599,4599,5243,644,0,0,0,0.0,0,0,2.2675,10.6108,2.6083,5.2857,531.9444,671.0,39,0,0,A1,129.0,1826.0,1,13,0,W_A0A1_1,81.0,1336.0,0.0039,0.0023,0.0314,1,2026-05-26T23:27:02.628017,,,,,,,,,,,,
-46.365,0.7683,719,0.8754,2.3571,4656,4656,5354,698,0,0,0,0.0,0,0,2.2897,14.2462,2.8012,5.6667,571.4242,729.0,65,0,0,A1,116.0,2160.0,1,43,1,W_A0A1_1,58.0,1055.0,0.0044,0.0031,0.0252,2,2026-05-26T23:33:14.812271,,,,,,,,,,,,
-50.5761,0.753,719,2.3296,5.0238,4602,4602,5412,810,0,0,0,1.0,0,0,2.3929,13.1648,2.9279,6.5238,609.7316,849.0,82,0,0,A3,174.0,6195.0,1,13,0,A2A3_1,101.0,3502.0,0.0042,0.0031,0.0219,3,2026-05-26T23:39:37.117453,,,,,,,,,,,,
-41.6738,0.7379,719,0.8974,2.5952,4647,4647,5329,682,0,0,0,0.0,0,0,2.1506,10.9836,2.5349,5.2619,523.4534,693.0,47,0,0,A3,148.0,6353.0,0,28,0,A2A3_1,92.0,3921.0,0.0055,0.0045,0.0201,4,2026-05-26T23:45:07.506937,,,,,,,,,,,,
-41.1807,0.7231,719,2.0767,3.2619,4744,4744,5461,717,0,0,0,0.0,0,0,2.1134,13.8867,2.4451,5.3333,535.3699,731.0,81,0,0,A2,147.0,3188.0,0,18,0,A1A2_1,87.0,1788.0,0.0061,0.0052,0.0187,5,2026-05-26T23:55:31.586942,-36.0588,0.0,1.0439,1.9286,5221.0,0.0,0.0,0.0,1.6937,9.0396,1.9044,6.4524
-39.0862,0.7087,719,1.1245,2.6905,4756,4756,5495,739,0,0,0,0.0,0,0,1.8672,9.6452,2.4379,5.3095,562.2322,739.0,36,0,0,A3,120.0,2320.0,1,8,0,A2A3_1,77.0,1616.0,0.0067,0.0058,0.0178,6,2026-05-27T00:00:54.329161,,,,,,,,,,,,
-42.4995,0.6945,719,1.3183,2.1905,4653,4653,5451,798,0,0,0,0.0,0,0,2.0702,13.4899,2.5725,4.6667,588.1516,811.0,29,0,0,A3,126.0,6250.0,1,13,1,A2A3_1,62.0,3536.0,0.0074,0.0065,0.0171,7,2026-05-27T00:06:27.643863,,,,,,,,,,,,
-38.1056,0.6806,719,1.1865,3.0,4810,4810,5534,724,0,0,0,1.0,0,0,1.7273,5.1823,2.4602,5.119,568.2504,740.0,8,0,0,A1,134.0,1598.0,1,18,1,W_A0A1_1,75.0,997.0,0.0082,0.0074,0.0166,8,2026-05-27T00:11:32.871832,,,,,,,,,,,,
-48.1942,0.667,719,1.6339,3.5238,4707,4707,5450,743,0,0,0,0.0,0,0,2.2979,13.9477,2.8013,5.5952,596.3477,804.0,108,0,0,A2,155.0,7388.0,0,23,0,A1A2_1,98.0,4447.0,0.0094,0.0086,0.0163,9,2026-05-27T00:16:48.375335,,,,,,,,,,,,
-38.7199,0.6537,719,1.6909,3.0238,4732,4732,5324,592,0,0,0,0.0,0,0,1.9237,7.5771,2.4917,5.2619,527.1516,661.0,14,0,0,A1,123.0,1760.0,1,38,1,W_A0A1_1,71.0,1011.0,0.0103,0.0095,0.0161,10,2026-05-27T00:24:45.829326,-38.5685,0.0,3.8167,3.3333,5080.0,0.0,0.0,0.0,2.0095,12.8065,1.9554,4.1429
