reward,epsilon,steps,avg_delay,avg_queue,throughput,arrived_vehicles,departed_vehicles,num_vehicles,emergency_stops,teleport_started,teleport_ended,recovery_active,local_safety_active_tls,local_safety_overrides,episode_mean_avg_delay,episode_max_avg_delay,episode_mean_avg_queue,episode_max_avg_queue,episode_mean_num_vehicles,episode_max_num_vehicles,episode_recovery_steps,episode_local_safety_steps,episode_local_safety_overrides,episode_peak_top_tl,episode_peak_top_tl_queue,episode_peak_top_tl_waiting,episode_peak_top_tl_phase,episode_peak_top_tl_phase_duration,episode_peak_top_tl_action,episode_peak_top_lane,episode_peak_top_lane_queue,episode_peak_top_lane_waiting,loss_total,loss_rl,loss_pred,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops,eval_teleport_started,eval_teleport_ended,eval_episode_mean_delay,eval_episode_max_delay,eval_episode_mean_queue,eval_episode_max_queue
-45.0032,0.768,719,0.9157,2.6429,4577,4577,5289,712,0,0,0,0.0,0,0,2.2553,14.1566,2.8004,5.4762,582.0125,780.0,29,0,0,A1,133.0,1728.0,1,13,0,W_A0A1_1,76.0,1303.0,0.0072,0.0055,0.035,1,2026-05-27T09:56:22.046251,,,,,,,,,,,,
-47.0719,0.7373,719,2.1579,3.7143,4640,4640,5381,741,0,0,0,0.0,0,0,2.2794,10.0093,2.857,5.7857,576.911,745.0,85,0,0,A3,134.0,3411.0,0,3,0,A2A3_1,88.0,2927.0,0.0039,0.0026,0.0257,2,2026-05-27T10:05:10.660147,,,,,,,,,,,,
-40.2959,0.7078,719,2.121,3.7143,4749,4749,5468,719,0,0,0,0.0,0,0,2.0087,12.1607,2.5167,5.0,544.21,749.0,20,0,0,A1,126.0,1404.0,1,13,0,W_A0A1_1,78.0,1041.0,0.0032,0.0021,0.0212,3,2026-05-27T10:13:14.809541,,,,,,,,,,,,
-39.4575,0.6795,719,3.4417,4.9048,4737,4737,5500,763,0,0,0,1.0,0,0,1.8902,6.998,2.528,5.4762,558.8248,764.0,24,0,0,A2,103.0,1126.0,1,13,0,A1A2_1,69.0,911.0,0.0037,0.0027,0.0188,4,2026-05-27T10:21:45.179914,,,,,,,,,,,,
-43.0898,0.6523,719,1.3525,2.4524,4770,4770,5519,749,0,0,0,1.0,0,0,1.9287,10.3333,2.6673,5.6429,607.2656,825.0,89,0,0,A1,144.0,3565.0,0,28,0,W_A0A1_1,89.0,2271.0,0.0044,0.0035,0.018,5,2026-05-27T10:37:59.645215,-27.6378,0.0,0.4314,1.0238,5281.0,0.0,0.0,0.0,1.2241,7.2332,1.678,3.881
-40.2881,0.768,719,2.273,3.2381,4718,4718,5381,663,0,0,0,0.0,0,0,1.8895,5.8028,2.6144,5.5714,556.4103,686.0,31,0,0,A1,122.0,1303.0,0,8,0,W_A0A1_1,75.0,852.0,0.0049,0.0041,0.0174,6,2026-05-27T17:44:32.922564,,,,,,,,,,,,
-38.2674,0.7373,719,1.7017,3.0,4648,4648,5228,580,0,0,0,0.0,0,0,2.1553,8.5208,2.3288,4.5714,477.8456,586.0,0,0,0,A1,151.0,1893.0,1,28,1,W_A0A1_1,81.0,972.0,0.0056,0.0048,0.0168,7,2026-05-27T17:52:15.133058,,,,,,,,,,,,
-44.2391,0.7078,719,0.9435,2.4048,4741,4741,5485,744,0,0,0,0.0,0,0,1.9054,7.5551,2.7671,5.381,634.7121,825.0,112,0,0,A3,144.0,3338.0,0,13,0,A2A3_1,99.0,2936.0,0.0066,0.0058,0.0164,8,2026-05-27T18:01:57.284104,,,,,,,,,,,,
-46.1902,0.6795,719,1.4477,3.3095,4734,4734,5451,717,0,0,0,0.0,0,0,2.3606,17.1369,2.6147,6.5714,552.8526,723.0,45,0,0,A3,207.0,10543.0,0,13,0,A2A3_1,123.0,6049.0,0.0073,0.0065,0.0163,9,2026-05-27T18:10:12.909350,,,,,,,,,,,,
-44.3475,0.6523,719,1.2745,2.8333,4666,4666,5402,736,0,0,0,0.0,0,0,2.1431,8.1126,2.7325,4.7381,565.7385,736.0,25,0,0,A3,138.0,4294.0,0,3,0,A2A3_1,90.0,2790.0,0.0081,0.0073,0.016,10,2026-05-27T18:25:45.331080,-32.9216,0.0,0.9962,2.0,5140.0,0.0,0.0,0.0,1.5521,8.222,1.7961,5.8571
