reward,epsilon,steps,avg_delay,avg_queue,throughput,arrived_vehicles,departed_vehicles,num_vehicles,emergency_stops,teleport_started,teleport_ended,recovery_active,local_safety_active_tls,local_safety_overrides,episode_mean_avg_delay,episode_max_avg_delay,episode_mean_avg_queue,episode_max_avg_queue,episode_mean_num_vehicles,episode_max_num_vehicles,episode_recovery_steps,episode_local_safety_steps,episode_local_safety_overrides,episode_peak_top_tl,episode_peak_top_tl_queue,episode_peak_top_tl_waiting,episode_peak_top_tl_phase,episode_peak_top_tl_phase_duration,episode_peak_top_tl_action,episode_peak_top_lane,episode_peak_top_lane_queue,episode_peak_top_lane_waiting,loss_total,loss_rl,loss_pred,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops,eval_teleport_started,eval_teleport_ended,eval_episode_mean_delay,eval_episode_max_delay,eval_episode_mean_queue,eval_episode_max_queue
-47.9583,0.768,719,3.8831,4.0,4654,4654,5270,616,0,0,0,0.0,0,0,2.5824,10.61,2.7552,5.1905,532.0807,651.0,72,0,0,A1,118.0,2037.0,0,3,1,W_A0A1_1,66.0,1163.0,0.0069,0.0051,0.0344,1,2026-06-02T07:32:30.385099,,,,,,,,,,,,
-43.0183,0.7373,719,2.9861,5.0714,4687,4687,5404,717,0,0,0,0.0,0,0,2.2282,13.7301,2.4825,5.6429,536.3338,724.0,59,0,0,A2,175.0,7930.0,0,28,0,A1A2_1,99.0,4167.0,0.0048,0.0036,0.0254,2,2026-06-02T07:37:32.015794,,,,,,,,,,,,
-43.6262,0.7078,719,1.2374,2.7619,4579,4579,5333,754,0,1,1,0.0,0,0,2.0594,7.7601,2.7577,5.6429,574.8526,763.0,20,0,0,A1,109.0,2342.0,1,38,1,W_A0A1_1,53.0,1230.0,0.0045,0.0033,0.0227,3,2026-06-02T07:42:48.581623,,,,,,,,,,,,
-86.619,0.6795,719,50.9166,10.4048,4604,4604,5395,791,0,9,9,1.0,0,0,4.2427,50.9166,3.2255,10.5238,619.1836,827.0,165,0,0,A1,393.0,32447.0,0,3,0,W_A0A1_1,172.0,17231.0,0.0055,0.0044,0.0204,4,2026-06-02T07:47:59.577233,,,,,,,,,,,,
-39.3789,0.6523,719,1.9771,3.6667,4752,4752,5451,699,0,0,0,0.0,0,0,1.8943,7.6346,2.532,6.4048,550.7371,699.0,30,0,0,A2,183.0,2766.0,0,43,0,A1A2_1,115.0,1792.0,0.01,0.009,0.0201,5,2026-06-02T07:53:37.709517,-28.4772,0.0,1.2718,2.1905,5042.0,0.0,0.0,0.0,1.2686,5.9945,1.8884,4.1905
-44.1329,0.6262,719,2.5714,3.5476,4709,4709,5458,749,0,0,0,0.0,0,0,2.1386,11.4268,2.6471,5.0714,573.5229,766.0,50,0,0,A2,121.0,2679.0,1,13,0,A1A2_1,83.0,2090.0,0.0101,0.0092,0.0191,6,2026-06-02T07:55:44.313354,,,,,,,,,,,,
-39.8668,0.6012,719,0.9838,2.2381,4820,4820,5559,739,0,0,0,0.0,0,0,1.7849,9.654,2.5184,6.2857,614.4617,830.0,80,0,0,A2,157.0,3676.0,1,13,0,A1A2_1,89.0,2334.0,0.0112,0.0103,0.0185,7,2026-06-02T07:58:13.574840,,,,,,,,,,,,
-38.8787,0.5771,719,1.6003,2.0476,4808,4808,5506,698,0,0,0,0.0,0,0,1.8609,10.6322,2.3876,4.9286,569.6453,741.0,39,0,0,A1,123.0,3479.0,0,33,0,W_A0A1_1,88.0,2838.0,0.0124,0.0115,0.0179,8,2026-06-02T08:00:23.814902,,,,,,,,,,,,
-40.9542,0.554,719,0.5401,2.619,4739,4739,5537,798,0,0,0,1.0,0,0,1.8674,10.5197,2.4866,5.7619,588.5341,815.0,50,0,0,A3,150.0,7738.0,0,3,0,A2A3_0,79.0,3757.0,0.0124,0.0115,0.0174,9,2026-06-02T08:02:46.268828,,,,,,,,,,,,
-36.0903,0.5319,719,1.4284,3.1905,4769,4769,5621,852,0,0,0,0.0,0,0,1.6054,5.3355,2.3657,5.2619,581.605,852.0,19,0,0,A1,107.0,1103.0,1,18,1,W_A0A1_1,63.0,681.0,0.0127,0.0118,0.0169,10,2026-06-02T08:06:50.807804,-41.8488,0.0,0.5037,2.2619,5054.0,0.0,0.0,0.0,1.957,14.0496,2.218,6.0952
