reward,epsilon,steps,avg_delay,avg_queue,throughput,arrived_vehicles,departed_vehicles,num_vehicles,emergency_stops,teleport_started,teleport_ended,recovery_active,local_safety_active_tls,local_safety_overrides,episode_mean_avg_delay,episode_max_avg_delay,episode_mean_avg_queue,episode_max_avg_queue,episode_mean_num_vehicles,episode_max_num_vehicles,episode_recovery_steps,episode_local_safety_steps,episode_local_safety_overrides,episode_peak_top_tl,episode_peak_top_tl_queue,episode_peak_top_tl_waiting,episode_peak_top_tl_phase,episode_peak_top_tl_phase_duration,episode_peak_top_tl_action,episode_peak_top_lane,episode_peak_top_lane_queue,episode_peak_top_lane_waiting,loss_total,loss_rl,loss_pred,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops,eval_teleport_started,eval_teleport_ended,eval_episode_mean_delay,eval_episode_max_delay,eval_episode_mean_queue,eval_episode_max_queue
-19.681,0.768,719,0.4261,0.9286,4211,4211,4610,399,0,0,0,0.0,0,0,1.0362,4.997,1.4709,3.2857,427.9527,520.0,0,0,0,A3,86.0,1190.0,0,3,0,E_A4A3_1,59.0,959.0,0.0029,0.0014,0.0294,1,2026-06-02T15:36:53.449481,,,,,,,,,,,,
-22.425,0.7373,719,1.432,2.0714,4152,4152,4689,537,0,1,1,0.0,0,0,1.1515,6.225,1.6164,4.0714,455.4131,566.0,0,0,0,A2,92.0,1146.0,1,18,1,A3A2_1,61.0,720.0,0.0017,0.0008,0.0185,2,2026-06-02T15:38:51.967965,,,,,,,,,,,,
-21.8893,0.7078,719,1.2373,2.2619,4107,4107,4697,590,0,0,0,0.0,0,0,0.9934,3.6501,1.6573,3.9286,494.7218,614.0,0,0,0,A3,78.0,1162.0,1,13,1,E_A4A3_1,61.0,1072.0,0.0014,0.0005,0.0174,3,2026-06-02T15:41:04.806855,,,,,,,,,,,,
-20.0706,0.6795,719,1.0615,1.8333,4244,4244,4781,537,0,0,0,0.0,0,0,0.9669,4.3372,1.5197,3.4048,483.5452,605.0,0,0,0,A3,102.0,1267.0,0,8,0,E_A4A3_1,54.0,829.0,0.0012,0.0005,0.015,4,2026-06-02T15:43:23.581732,,,,,,,,,,,,
-18.3259,0.6523,719,0.3753,1.0,4379,4379,4872,493,0,0,0,0.0,0,0,0.8457,4.2465,1.3963,3.4286,481.0946,573.0,0,0,0,A3,78.0,988.0,0,3,0,E_A4A3_1,54.0,788.0,0.0012,0.0005,0.0139,5,2026-06-02T15:48:47.700784,-13.2581,0.0,0.6952,0.881,4969.0,0.0,0.0,0.0,0.6878,1.9728,0.915,2.0
-17.9901,0.6262,719,0.4831,0.9048,4419,4419,4953,534,0,0,0,0.0,0,0,0.7725,3.1196,1.3865,2.8333,499.8011,617.0,0,0,0,A3,74.0,670.0,0,3,0,E_A4A3_1,50.0,462.0,0.0012,0.0006,0.0131,6,2026-06-02T15:53:40.488245,,,,,,,,,,,,
-19.4273,0.6012,719,1.0121,1.8333,4341,4341,4837,496,0,0,0,0.0,0,0,0.918,4.8369,1.4546,3.3333,469.3964,578.0,0,0,0,A3,78.0,646.0,1,13,0,E_A4A3_1,51.0,439.0,0.0012,0.0006,0.0125,7,2026-06-02T15:58:19.050622,,,,,,,,,,,,
-16.8182,0.5771,719,0.2453,0.8333,4473,4473,4950,477,0,0,0,0.0,0,0,0.8904,4.5524,1.2491,3.2143,408.267,496.0,0,0,0,A2,78.0,1512.0,1,33,1,A3A2_1,47.0,959.0,0.0013,0.0007,0.012,8,2026-06-02T16:02:27.299257,,,,,,,,,,,,
-17.0728,0.554,719,0.2867,0.5,4479,4479,4936,457,0,0,0,0.0,0,0,0.8817,4.0695,1.2661,3.3095,413.9402,507.0,0,0,0,A3,67.0,758.0,0,13,0,E_A4A3_1,47.0,609.0,0.0013,0.0007,0.0115,9,2026-06-02T16:06:31.483584,,,,,,,,,,,,
-18.3536,0.5319,719,1.1712,1.5476,4509,4509,4947,438,0,2,2,0.0,0,0,0.9751,4.521,1.3469,2.9048,417.388,494.0,0,0,0,A3,77.0,755.0,1,18,1,E_A4A3_1,52.0,524.0,0.0013,0.0007,0.0112,10,2026-06-02T16:13:22.006711,-12.4456,0.0,0.9359,0.7381,5078.0,0.0,0.0,0.0,0.7307,1.9765,0.8398,1.881
-15.4279,0.5106,719,0.523,0.8333,4618,4618,5117,499,0,0,0,0.0,0,0,0.7428,2.5823,1.1637,2.6667,439.6815,571.0,0,0,0,A3,60.0,522.0,1,23,1,E_A4A3_1,35.0,315.0,0.0013,0.0008,0.0108,11,2026-06-02T16:17:47.360345,,,,,,,,,,,,
-16.4533,0.4902,719,0.7989,1.1667,4524,4524,5046,522,0,0,0,0.0,0,0,0.7624,2.6462,1.2452,2.9286,461.4771,577.0,0,0,0,A2,66.0,895.0,1,28,1,A3A2_1,40.0,544.0,0.0013,0.0008,0.0105,12,2026-06-02T16:22:13.467581,,,,,,,,,,,,
-19.0629,0.4706,719,0.8373,1.6905,4354,4354,4864,510,0,0,0,0.0,0,0,0.8416,4.1018,1.4665,3.3333,497.3157,613.0,0,0,0,A2,91.0,1247.0,1,13,0,A3A2_1,61.0,906.0,0.0013,0.0008,0.0103,13,2026-06-02T16:27:04.597949,,,,,,,,,,,,
-32.2552,0.4517,719,0.547,1.3333,4331,4331,4874,543,0,4,4,0.0,0,0,1.4781,13.7143,1.7811,7.8571,531.6078,729.0,69,0,0,A3,209.0,5525.0,1,13,0,E_A4A3_1,145.0,3889.0,0.0015,0.001,0.0103,14,2026-06-02T16:32:11.658947,,,,,,,,,,,,
