reward,epsilon,steps,avg_delay,avg_queue,throughput,arrived_vehicles,departed_vehicles,num_vehicles,emergency_stops,teleport_started,teleport_ended,recovery_active,local_safety_active_tls,local_safety_overrides,episode_mean_avg_delay,episode_max_avg_delay,episode_mean_avg_queue,episode_max_avg_queue,episode_mean_num_vehicles,episode_max_num_vehicles,episode_recovery_steps,episode_local_safety_steps,episode_local_safety_overrides,episode_peak_top_tl,episode_peak_top_tl_queue,episode_peak_top_tl_waiting,episode_peak_top_tl_phase,episode_peak_top_tl_phase_duration,episode_peak_top_tl_action,episode_peak_top_lane,episode_peak_top_lane_queue,episode_peak_top_lane_waiting,loss_total,loss_rl,loss_pred,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops,eval_teleport_started,eval_teleport_ended,eval_episode_mean_delay,eval_episode_max_delay,eval_episode_mean_queue,eval_episode_max_queue
-42.8632,0.768,719,29.2836,3.1111,4302,4302,4711,409,0,0,0,1.0,0,0,2.8696,29.2836,1.6249,3.5694,391.9555,549.0,11,0,0,B0,141.0,11073.0,1,12,0,bottom1B0_1,75.0,6266.0,0.0094,0.0015,0.0262,1,2026-06-04T12:15:00.136886,,,,,,,,,,,,
-49.6875,0.7373,719,6.6147,3.2639,4359,4359,4943,584,0,0,0,1.0,0,0,3.1444,24.3013,1.7029,4.1944,415.8665,619.0,173,0,0,B1,153.0,5324.0,0,17,0,B2B1_1,57.0,3328.0,0.0074,0.0022,0.0176,2,2026-06-04T12:16:38.399886,,,,,,,,,,,,
-158.7937,0.7078,719,17.0127,5.0833,4053,4053,4917,864,0,3,3,1.0,0,0,10.2525,153.3451,2.2229,11.3333,426.6982,906.0,138,0,0,B1,401.0,81455.0,0,17,0,bottom1B0_1,71.0,11133.0,0.0082,0.0034,0.0161,3,2026-06-04T12:18:17.960887,,,,,,,,,,,,
-42.2852,0.6795,719,8.744,4.1528,4382,4382,5007,625,0,1,1,1.0,0,0,2.4348,10.2392,1.6429,4.1528,410.2239,640.0,130,0,0,B1,138.0,2587.0,0,2,0,B2B1_1,55.0,1722.0,0.0216,0.0168,0.016,4,2026-06-04T12:19:55.669886,,,,,,,,,,,,
-41.6095,0.6523,719,17.0719,4.3889,4388,4388,4986,598,0,0,0,1.0,0,0,2.5734,18.0234,1.5852,4.5556,395.4214,627.0,143,0,0,B1,145.0,2647.0,1,12,0,B2B1_1,57.0,1421.0,0.0173,0.0127,0.0154,5,2026-06-04T12:22:55.322888,-44.052,0.0,6.5337,2.6944,4261.0,0.0,0.0,0.0,3.2396,9.8315,1.6424,3.0972
-37.6799,0.6262,719,15.0894,2.9444,4360,4360,4785,425,0,0,0,0.0,0,0,2.4574,15.0894,1.4989,3.4722,374.2434,525.0,0,0,0,B1,109.0,1421.0,0,2,0,left1A1_1,31.0,308.0,0.0156,0.0111,0.0151,6,2026-06-04T12:24:37.183923,,,,,,,,,,,,
-39.7855,0.6012,719,4.2759,2.9306,4364,4364,4933,569,0,1,1,1.0,0,0,2.3664,13.6168,1.5608,4.0972,398.4645,593.0,158,0,0,B1,153.0,4701.0,0,2,0,B2B1_1,52.0,2974.0,0.0147,0.0103,0.0148,7,2026-06-04T12:26:20.253514,,,,,,,,,,,,
-37.7673,0.5771,719,7.3243,3.8333,4336,4336,4928,592,0,0,0,1.0,0,0,2.1567,7.3243,1.5691,3.8333,404.637,604.0,73,0,0,B1,129.0,1659.0,0,32,0,B2B1_1,41.0,475.0,0.0169,0.0125,0.0146,8,2026-06-04T12:28:04.271726,,,,,,,,,,,,
-41.6214,0.554,719,15.7683,3.9167,4363,4363,4937,574,0,0,0,1.0,0,0,2.5249,15.7683,1.6127,4.0556,399.9791,613.0,106,0,0,B1,157.0,3262.0,0,2,0,B2B1_1,54.0,1536.0,0.0164,0.012,0.0145,9,2026-06-04T12:29:46.256152,,,,,,,,,,,,
-36.5773,0.5319,719,4.1928,2.9167,4272,4272,4775,503,0,0,0,0.0,0,0,2.1942,6.3372,1.5266,3.4444,384.4339,534.0,0,0,0,B1,112.0,1325.0,1,17,1,B0B1_1,28.0,252.0,0.0181,0.0138,0.0144,10,2026-06-04T12:32:49.533071,-39.1676,0.0,5.1188,2.1111,4335.0,0.0,0.0,0.0,2.9666,12.0179,1.4788,2.9583
