reward,epsilon,steps,avg_delay,avg_queue,throughput,arrived_vehicles,departed_vehicles,num_vehicles,emergency_stops,teleport_started,teleport_ended,recovery_active,episode_mean_avg_delay,episode_max_avg_delay,episode_mean_avg_queue,episode_max_avg_queue,episode_mean_num_vehicles,episode_max_num_vehicles,episode_recovery_steps,loss_total,loss_rl,loss_pred,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops,eval_teleport_started,eval_teleport_ended,eval_episode_mean_delay,eval_episode_max_delay,eval_episode_mean_queue,eval_episode_max_queue
-7.489699074074072,0.784,719,1.690721649484536,0.2916666666666667,3503,3503,3600,97,0,0,0,0.0,1.383988380432129,5.06315803527832,0.2242118865251541,0.5416666865348816,92.49652099609375,109.0,0,0.0010609458728229183,0.0003699316444220951,0.013820284313136122,1,2026-05-23T01:38:26.556943,,,,,,,,,,,,
-7.158125000000009,0.76832,719,1.8453608247422681,0.3472222222222222,3503,3503,3600,97,0,0,0,0.0,1.3034223318099976,5.342105388641357,0.21625329554080963,0.5138888955116272,92.07093048095703,114.0,0,0.0007384729783179598,0.00026355709228931794,0.009498317531013397,2,2026-05-23T01:44:49.382658,,,,,,,,,,,,
-6.855208333333337,0.7529536,719,1.768421052631579,0.2638888888888889,3505,3505,3600,95,0,0,0,0.0,1.190871000289917,4.134146213531494,0.21153995394706726,0.4722222089767456,91.45758056640625,105.0,0,0.0005107494056149047,9.145116956601106e-05,0.008385964610998588,3,2026-05-23T01:50:03.108238,,,,,,,,,,,,
-6.560578703703703,0.737894528,719,1.5666666666666667,0.25,3508,3508,3598,90,0,0,0,0.0,1.1173441410064697,4.561224460601807,0.20404496788978577,0.4722222089767456,90.86091613769531,110.0,0,0.0004571778609489268,7.110813362961887e-05,0.007721394427400471,4,2026-05-23T01:53:58.701058,,,,,,,,,,,,
-6.462407407407409,0.72313663744,719,0.2857142857142857,0.125,3502,3502,3600,98,0,0,0,0.0,1.1124653816223145,4.73913049697876,0.2007610946893692,0.4444444477558136,90.55215454101562,105.0,0,0.000430722279708589,6.754384072218511e-05,0.007263568693043999,5,2026-05-23T01:59:30.716031,-4.576643518518515,0.0,0.43820224719101125,0.125,3510.0,0.0,0.0,0.0,0.6265835165977478,2.2921347618103027,0.15499922633171082,0.4305555522441864
-116.50634259259276,0.7086739046912,719,0.46153846153846156,0.1388888888888889,3508,3508,3599,91,0,3,3,0.0,21.724639892578125,248.114501953125,0.7352031469345093,4.513888835906982,142.68984985351562,406.0,109,0.00513518876911812,0.004755948013398957,0.007584814746476844,6,2026-05-23T02:04:49.947209,,,,,,,,,,,,
-6.190532407407408,0.694500426597376,719,1.032258064516129,0.2222222222222222,3507,3507,3600,93,0,0,0,0.0,1.0547748804092407,5.487500190734863,0.19376835227012634,0.4444444477558136,90.02920532226562,109.0,0,0.0028015132433241324,0.002425576370776434,0.0075187373146031345,7,2026-05-23T02:08:18.517530,,,,,,,,,,,,
-6.357592592592585,0.6806104180654284,719,1.9213483146067416,0.2361111111111111,3509,3509,3598,89,0,0,0,0.0,1.076844573020935,4.46875,0.1987907886505127,0.4444444477558136,90.307373046875,110.0,0,0.003617584294741857,0.003250654384239058,0.007338598112139193,8,2026-05-23T02:11:52.827832,,,,,,,,,,,,
-6.495231481481482,0.6669982097041198,719,0.7311827956989247,0.1111111111111111,3505,3505,3598,93,0,0,0,0.0,1.1162317991256714,5.020833492279053,0.20197807252407074,0.4861111044883728,90.32128143310547,109.0,0,0.0031923425242354024,0.002828036641873036,0.007286117366814315,9,2026-05-23T02:15:08.663041,,,,,,,,,,,,
-84.68546296296297,0.6536582455100374,719,1.7191011235955056,0.3194444444444444,3511,3511,3600,89,0,3,3,0.0,19.07280921936035,225.72586059570312,0.5662958025932312,3.625,126.12239074707031,334.0,105,0.004849223210184896,0.0044757270900520375,0.007469922440807867,10,2026-05-23T02:20:44.367339,-4.5588657407407345,0.0,0.9101123595505618,0.16666666666666666,3511.0,0.0,0.0,0.0,0.6151694059371948,2.144444465637207,0.15476742386817932,0.3888888955116272
