reward,epsilon,steps,avg_delay,avg_queue,throughput,arrived_vehicles,departed_vehicles,num_vehicles,emergency_stops,teleport_started,teleport_ended,recovery_active,local_safety_active_tls,local_safety_overrides,episode_mean_avg_delay,episode_max_avg_delay,episode_mean_avg_queue,episode_max_avg_queue,episode_mean_num_vehicles,episode_max_num_vehicles,episode_recovery_steps,episode_local_safety_steps,episode_local_safety_overrides,episode_peak_top_tl,episode_peak_top_tl_queue,episode_peak_top_tl_waiting,episode_peak_top_tl_phase,episode_peak_top_tl_phase_duration,episode_peak_top_tl_action,episode_peak_top_lane,episode_peak_top_lane_queue,episode_peak_top_lane_waiting,loss_total,loss_rl,loss_pred,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops,eval_teleport_started,eval_teleport_ended,eval_episode_mean_delay,eval_episode_max_delay,eval_episode_mean_queue,eval_episode_max_queue
-8.422291666666679,0.784,719,1.8426966292134832,0.2638888888888889,3511,3511,3600,89,0,0,0,0.0,0,0,1.6167367696762085,9.431192398071289,0.24547983705997467,0.7916666865348816,94.4840087890625,113.0,0,0,0,B1,19.0,442.0,0,43,0,A1B1_1,7.0,149.0,0.0019662335449183734,0.0012856961427642978,0.013610747787624417,1,2026-05-23T18:48:44.392389,,,,,,,,,,,,
-7.030995370370375,0.76832,719,1.086021505376344,0.16666666666666666,3507,3507,3600,93,0,0,0,0.0,0,0,1.2705031633377075,5.5,0.2132398635149002,0.5972222089767456,91.4742660522461,111.0,0,0,0,B1,15.0,338.0,0,38,0,C1B1_0,6.0,142.0,0.000896922029086592,0.0003970442626869626,0.009997555146690701,2,2026-05-23T18:54:29.132648,,,,,,,,,,,,
-6.853171296296295,0.7529536,719,0.9101123595505618,0.25,3511,3511,3600,89,0,0,0,0.0,0,0,1.203521728515625,4.71875,0.21063204109668732,0.4583333432674408,91.4422836303711,107.0,0,0,0,C1,14.0,113.0,1,18,1,B2C2_0,5.0,45.0,0.0005573271426452538,9.28403208798017e-05,0.009289736283090749,3,2026-05-23T19:00:17.072098,,,,,,,,,,,,
-6.552777777777778,0.737894528,719,2.25,0.25,3507,3507,3599,92,0,0,0,0.0,0,0,1.1391267776489258,4.070588111877441,0.20292457938194275,0.4722222089767456,90.7413101196289,107.0,0,0,0,C1,13.0,177.0,1,28,1,C0C1_1,5.0,96.0,0.0005095615733744543,7.63840882645328e-05,0.008663549577566033,4,2026-05-23T19:07:04.890238,,,,,,,,,,,,
-6.253842592592594,0.72313663744,719,0.5934065934065934,0.1111111111111111,3509,3509,3600,91,0,0,0,0.0,0,0,1.0611335039138794,3.840425491333008,0.1959511786699295,0.5416666865348816,90.24756622314453,112.0,0,0,0,B0,13.0,214.0,0,28,0,C0B0_0,5.0,80.0,0.0004667901351914504,7.135374641553686e-05,0.007908727657645734,5,2026-05-23T19:18:32.234008,-4.561342592592586,0.0,0.3058823529411765,0.125,3514.0,0.0,0.0,0.0,0.6163338422775269,2.1927711963653564,0.15472878515720367,0.4027777910232544
-6.283773148148147,0.7086739046912,719,0.5955056179775281,0.16666666666666666,3509,3509,3598,89,0,0,0,0.0,0,0,1.0672537088394165,3.318681240081787,0.1962602436542511,0.4444444477558136,90.2573013305664,109.0,0,0,0,B1,13.0,128.0,0,33,0,C1B1_1,4.0,64.0,0.00044051814649962616,6.896020561008667e-05,0.007431158710462825,6,2026-05-23T19:25:44.232836,,,,,,,,,,,,
-6.139953703703696,0.694500426597376,719,2.0,0.3472222222222222,3503,3503,3600,97,0,0,0,0.0,0,0,1.036259412765503,3.6082475185394287,0.1929570436477661,0.4444444477558136,89.92628479003906,117.0,0,0,0,C1,19.0,274.0,1,23,1,C0C1_0,7.0,64.0,0.00042659281172546115,6.707668977110195e-05,0.007190322318866911,7,2026-05-23T19:32:34.299890,,,,,,,,,,,,
-6.200763888888893,0.6806104180654284,719,1.2555555555555555,0.2361111111111111,3509,3509,3599,90,0,0,0,0.0,0,0,1.0373092889785767,5.307692527770996,0.19496600329875946,0.4722222089767456,90.18219757080078,107.0,0,0,0,B2,14.0,241.0,0,38,0,C0B0_0,5.0,82.0,0.0004200680961884864,6.777080805209286e-05,0.007045945650036544,8,2026-05-23T19:39:13.171471,,,,,,,,,,,,
-6.026944444444436,0.6669982097041198,719,1.4895833333333333,0.3055555555555556,3503,3503,3599,96,0,0,0,0.0,0,0,1.0121418237686157,4.989473819732666,0.18957658112049103,0.5138888955116272,89.50765228271484,109.0,0,0,0,B1,17.0,282.0,1,33,1,B0B1_1,9.0,146.0,0.00041092950888774686,6.565557370311742e-05,0.006905478576226717,9,2026-05-23T19:45:36.444096,,,,,,,,,,,,
-6.108634259259254,0.6536582455100374,719,1.1149425287356323,0.2638888888888889,3513,3513,3600,87,0,0,0,0.0,0,0,1.0032967329025269,3.9263157844543457,0.19313089549541473,0.4305555522441864,90.01669311523438,105.0,0,0,0,B0,12.0,127.0,0,23,0,A0B0_1,5.0,78.0,0.0004043994088992684,6.477894767942697e-05,0.006792409117534363,10,2026-05-23T19:55:47.907420,-4.486736111111111,0.0,1.7727272727272727,0.3194444444444444,3512.0,0.0,0.0,0.0,0.611534595489502,2.1770832538604736,0.1522175818681717,0.3888888955116272
