reward,epsilon,steps,avg_delay,avg_queue,throughput,arrived_vehicles,departed_vehicles,num_vehicles,emergency_stops,teleport_started,teleport_ended,recovery_active,local_safety_active_tls,local_safety_overrides,episode_mean_avg_delay,episode_max_avg_delay,episode_mean_avg_queue,episode_max_avg_queue,episode_mean_num_vehicles,episode_max_num_vehicles,episode_recovery_steps,episode_local_safety_steps,episode_local_safety_overrides,episode_peak_top_tl,episode_peak_top_tl_queue,episode_peak_top_tl_waiting,episode_peak_top_tl_phase,episode_peak_top_tl_phase_duration,episode_peak_top_tl_action,episode_peak_top_lane,episode_peak_top_lane_queue,episode_peak_top_lane_waiting,loss_total,loss_rl,loss_pred,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops,eval_teleport_started,eval_teleport_ended,eval_episode_mean_delay,eval_episode_max_delay,eval_episode_mean_queue,eval_episode_max_queue
-10.099444444444446,0.784,719,45.56578947368421,1.1111111111111112,3448,3448,3600,152,0,0,0,1.0,0,0,2.4709978103637695,45.56578826904297,0.25596895813941956,1.125,94.90542602539062,152.0,4,0,0,C1,66.0,5423.0,0,33,0,B1C1_1,16.0,1564.0,0.0033112693488918724,0.0025676645585829137,0.014872095358796508,1,2026-05-24T19:42:51.706338,,,,,,,,,,,,
-7.539768518518523,0.76832,719,0.9578947368421052,0.2361111111111111,3505,3505,3600,95,0,0,0,0.0,0,0,1.3772897720336914,4.82692289352417,0.22707077860832214,0.5972222089767456,93.0417251586914,108.0,0,0,0,C2,15.0,295.0,0,43,0,B2C2_0,7.0,158.0,0.0024817125634251417,0.0019826172811033592,0.009981905571308106,2,2026-05-24T19:44:53.970750,,,,,,,,,,,,
-7.440902777777781,0.7529536,719,2.9183673469387754,0.25,3502,3502,3600,98,0,0,0,0.0,0,0,1.3672716617584229,5.400000095367432,0.2234005630016327,0.5555555820465088,92.52156066894531,110.0,0,0,0,B1,15.0,264.0,0,33,0,C1B1_1,7.0,135.0,0.0007589881039439585,0.0003066867835875905,0.009046026277556622,3,2026-05-24T19:46:43.637876,,,,,,,,,,,,
-6.645370370370373,0.737894528,719,0.7676767676767676,0.19444444444444445,3501,3501,3600,99,0,0,0,0.0,0,0,1.1603888273239136,3.799999952316284,0.20508809387683868,0.5,90.92489624023438,108.0,0,0,0,B1,14.0,166.0,0,23,0,A1B1_0,4.0,72.0,0.0006009838158884559,0.00017413706447872798,0.0085369349031169,4,2026-05-24T19:50:53.950903,,,,,,,,,,,,
-6.850347222222222,0.72313663744,719,0.7802197802197802,0.18055555555555555,3509,3509,3600,91,0,0,0,0.0,0,0,1.215733528137207,4.8131866455078125,0.21001391112804413,0.4444444477558136,91.3894271850586,108.0,0,0,0,B1,16.0,348.0,1,38,1,B0B1_1,7.0,121.0,0.0005925495807510206,0.00018200752479294625,0.008210841011934719,5,2026-05-24T19:53:59.224389,-4.497939814814814,0.0,0.08139534883720931,0.041666666666666664,3513.0,0.0,0.0,0.0,0.6239266395568848,2.279069662094116,0.15183125436306,0.3888888955116272
-6.621782407407404,0.7086739046912,719,1.5164835164835164,0.2361111111111111,3509,3509,3600,91,0,0,0,0.0,0,0,1.1698617935180664,4.179999828338623,0.2039097547531128,0.4722222089767456,90.76078033447266,108.0,0,0,0,B1,13.0,253.0,1,43,1,B0B1_1,6.0,121.0,0.0005865810617175658,0.00018899420327529628,0.007951737033729138,6,2026-05-24T19:58:04.100368,,,,,,,,,,,,
-6.400509259259257,0.694500426597376,719,0.6428571428571429,0.1388888888888889,3502,3502,3600,98,0,0,0,0.0,0,0,1.0975757837295532,3.84375,0.19952481985092163,0.4722222089767456,90.58553314208984,110.0,0,0,0,C1,12.0,132.0,1,28,1,C0C1_1,4.0,53.0,0.0005210147923997167,0.0001346454624728117,0.007727386497261627,7,2026-05-24T20:02:54.546283,,,,,,,,,,,,
-6.250671296296294,0.6806104180654284,719,0.5108695652173914,0.18055555555555555,3507,3507,3599,92,0,0,0,0.0,0,0,1.0726553201675415,4.409999847412109,0.1951591670513153,0.4722222089767456,90.08206176757812,108.0,0,0,0,B1,12.0,243.0,1,33,1,B0B1_1,4.0,103.0,0.000513129821630073,0.000130849304564758,0.007645610205036418,8,2026-05-24T20:06:06.464916,,,,,,,,,,,,
-6.395972222222224,0.6669982097041198,719,0.31,0.16666666666666666,3500,3500,3600,100,0,0,0,0.0,0,0,1.0875123739242554,4.505882263183594,0.1998918354511261,0.4722222089767456,90.63004302978516,107.0,0,0,0,B1,12.0,234.0,0,33,0,C1B1_1,4.0,101.0,0.0005189896037741221,0.00014333715317587067,0.007513048920018782,9,2026-05-24T20:10:01.190715,,,,,,,,,,,,
-6.400185185185185,0.6536582455100374,719,0.6263736263736264,0.1527777777777778,3509,3509,3600,91,0,0,0,0.0,0,0,1.0795319080352783,3.711538553237915,0.20014294981956482,0.4583333432674408,90.66203308105469,109.0,0,0,0,B1,15.0,220.0,0,38,0,A1B1_0,4.0,85.0,0.0005053653160268143,0.0001369814012775726,0.007367678166021268,10,2026-05-24T20:14:53.992929,-4.788124999999998,0.0,1.367816091954023,0.2361111111111111,3512.0,0.0,0.0,0.0,0.6768380999565125,2.0512821674346924,0.16015686094760895,0.3611111044883728
