reward,epsilon,steps,avg_delay,avg_queue,throughput,arrived_vehicles,departed_vehicles,num_vehicles,emergency_stops,teleport_started,teleport_ended,recovery_active,local_safety_active_tls,local_safety_overrides,episode_mean_avg_delay,episode_max_avg_delay,episode_mean_avg_queue,episode_max_avg_queue,episode_mean_num_vehicles,episode_max_num_vehicles,episode_recovery_steps,episode_local_safety_steps,episode_local_safety_overrides,episode_peak_top_tl,episode_peak_top_tl_queue,episode_peak_top_tl_waiting,episode_peak_top_tl_phase,episode_peak_top_tl_phase_duration,episode_peak_top_tl_action,episode_peak_top_lane,episode_peak_top_lane_queue,episode_peak_top_lane_waiting,loss_rl,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops,eval_teleport_started,eval_teleport_ended,eval_episode_mean_delay,eval_episode_max_delay,eval_episode_mean_queue,eval_episode_max_queue
-153.9144,0.784,719,2.7953,4.9286,6784,6784,7771,987,0,1,1,1.0,0,0,3.382,12.323,6.062,14.7381,1007.6398,1690.0,500,0,0,A1,222.0,7101.0,1,13,0,W_A0A1_1,116.0,5617.0,0.0071,1,2026-05-28T23:59:22.765787,,,,,,,,,,,,
-124.6159,0.7683,719,3.341,3.9524,6867,6867,7688,821,0,0,0,1.0,0,0,3.1031,10.453,5.3446,12.1429,914.9666,1523.0,474,0,0,A1,221.0,6405.0,1,13,0,W_A0A1_1,97.0,3778.0,0.0134,2,2026-05-29T00:04:40.053451,,,,,,,,,,,,
-183.3695,0.753,719,12.7579,7.4524,6739,6739,7755,1016,0,0,0,1.0,0,0,4.1245,17.1145,6.6269,16.0714,986.3686,1638.0,469,0,0,A2,261.0,7461.0,1,13,0,A1A2_1,129.0,4605.0,0.014,3,2026-05-29T00:10:31.474229,,,,,,,,,,,,
-176.5679,0.7379,719,2.9161,6.0714,6762,6762,7692,930,0,0,0,1.0,0,0,3.7454,14.2608,6.6752,16.0238,991.822,1709.0,493,0,0,A1,224.0,3356.0,1,13,0,W_A0A1_1,94.0,1150.0,0.0232,4,2026-05-29T00:15:56.345783,,,,,,,,,,,,
-202.5309,0.7231,719,3.1515,7.4524,6467,6467,7728,1261,0,0,0,1.0,0,0,4.2314,19.8154,7.2241,22.1667,1037.687,1733.0,484,0,0,A2,312.0,8503.0,0,38,0,A1A2_1,155.0,4986.0,0.0301,5,2026-05-29T00:27:04.636741,-180.6262,0.0,7.2164,7.0238,6870.0,0.0,0.0,0.0,4.0148,14.5373,6.5776,14.381
-121.0021,0.7087,719,5.4662,5.0476,6942,6942,7755,813,0,0,0,1.0,0,0,2.912,14.7853,5.1673,11.8333,896.8234,1539.0,444,0,0,A2,275.0,15305.0,1,13,0,A1A2_1,131.0,8164.0,0.0366,6,2026-05-29T00:32:09.822222,,,,,,,,,,,,
-127.4076,0.6945,719,0.4421,1.9524,6953,6953,7756,803,0,0,0,1.0,0,0,3.2155,18.6513,5.2725,11.7857,894.7664,1546.0,485,0,0,A2,227.0,16843.0,0,33,0,A1A2_1,96.0,8741.0,0.0393,7,2026-05-29T00:37:09.771810,,,,,,,,,,,,
-175.4852,0.6806,719,2.7131,4.7857,6776,6776,7717,941,0,2,2,1.0,0,0,3.7821,18.0936,6.3667,18.2143,966.7858,1588.0,466,0,0,A2,322.0,18594.0,0,38,0,A1A2_1,162.0,10539.0,0.0475,8,2026-05-29T00:42:26.292608,,,,,,,,,,,,
-152.1059,0.667,719,19.2386,8.8095,6782,6782,7721,939,0,0,0,1.0,0,0,3.6028,20.7886,5.6457,17.7143,892.3422,1522.0,439,0,0,A2,309.0,10820.0,0,33,0,A1A2_1,157.0,5335.0,0.0513,9,2026-05-29T00:47:06.517437,,,,,,,,,,,,
-140.5045,0.6537,719,4.0222,4.2857,6862,6862,7674,812,0,1,1,1.0,0,0,3.6978,16.9557,5.3373,15.7619,861.9666,1457.0,449,0,0,A2,329.0,17977.0,0,8,0,A1A2_1,180.0,10971.0,0.0569,10,2026-05-29T00:56:49.977863,-125.0606,0.0,5.3683,5.7619,6863.0,0.0,0.0,0.0,3.1736,15.7136,5.3577,13.8095
