reward,epsilon,steps,avg_delay,avg_queue,throughput,arrived_vehicles,departed_vehicles,num_vehicles,emergency_stops,teleport_started,teleport_ended,recovery_active,local_safety_active_tls,local_safety_overrides,episode_mean_avg_delay,episode_max_avg_delay,episode_mean_avg_queue,episode_max_avg_queue,episode_mean_num_vehicles,episode_max_num_vehicles,episode_recovery_steps,episode_local_safety_steps,episode_local_safety_overrides,episode_peak_top_tl,episode_peak_top_tl_queue,episode_peak_top_tl_waiting,episode_peak_top_tl_phase,episode_peak_top_tl_phase_duration,episode_peak_top_tl_action,episode_peak_top_lane,episode_peak_top_lane_queue,episode_peak_top_lane_waiting,loss_rl,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops,eval_teleport_started,eval_teleport_ended,eval_episode_mean_delay,eval_episode_max_delay,eval_episode_mean_queue,eval_episode_max_queue
-56.4123,0.784,719,1.6593,2.9286,4358,4358,4992,634,0,0,0,0.0,0,0,3.0238,16.0462,3.2208,6.3095,537.6176,667.0,0,0,0,A1,165.0,3081.0,1,42,1,W_A0A1_1,65.0,1099.0,0.0051,1,2026-05-26T07:55:21.720571,,,,,,,,,,,,
-56.7832,0.7683,719,1.2627,3.1429,4444,4444,5095,651,0,0,0,0.0,0,0,3.0091,13.803,3.2254,6.5952,541.1349,733.0,0,0,0,A1,153.0,1545.0,1,17,1,W_A0A1_1,93.0,963.0,0.0034,2,2026-05-26T07:57:13.251057,,,,,,,,,,,,
-54.9227,0.753,719,5.3377,4.4762,4501,4501,5182,681,0,0,0,0.0,0,0,2.8172,11.6915,3.1648,6.3571,562.9041,733.0,0,0,0,A2,163.0,5952.0,0,17,0,A1A2_1,100.0,4412.0,0.0032,3,2026-05-26T07:59:12.816104,,,,,,,,,,,,
-44.9943,0.7379,719,1.0128,2.4524,4494,4494,5120,626,0,0,0,0.0,0,0,2.3715,8.4761,2.7396,5.5,525.637,660.0,0,0,0,A1,138.0,3092.0,1,32,1,W_A0A1_1,76.0,1922.0,0.0043,4,2026-05-26T08:01:03.805906,,,,,,,,,,,,
-46.0908,0.7231,719,2.6725,3.5238,4576,4576,5260,684,0,0,0,0.0,0,0,2.283,11.2162,2.7949,6.2381,551.8345,734.0,0,0,0,A1,115.0,2435.0,1,12,0,W_A0A1_1,67.0,1997.0,0.0051,5,2026-05-26T08:05:10.893472,-56.8036,0.0,1.0055,2.119,5133.0,0.0,1.0,1.0,2.894,36.5629,2.1696,7.5
-43.6072,0.7087,719,2.2931,1.9286,4621,4621,5160,539,0,0,0,0.0,0,0,2.3365,9.6679,2.6158,5.0714,507.1168,614.0,0,0,0,A1,145.0,1534.0,0,2,0,W_A0A1_1,88.0,951.0,0.0059,6,2026-05-26T08:08:24.257536,,,,,,,,,,,,
-36.8499,0.6945,719,2.2778,3.1667,4698,4698,5274,576,0,0,0,0.0,0,0,2.0196,6.056,2.2977,4.8333,485.4826,593.0,0,0,0,A1,122.0,1498.0,1,22,1,W_A0A1_1,66.0,1035.0,0.006,7,2026-05-26T08:10:39.937486,,,,,,,,,,,,
-46.9564,0.6806,719,3.8531,3.5,4600,4600,5315,715,0,0,0,0.0,0,0,2.2143,7.0418,2.9322,6.5952,580.4228,744.0,0,0,0,A2,119.0,1280.0,0,2,0,A1A2_1,66.0,753.0,0.0075,8,2026-05-26T08:13:07.207920,,,,,,,,,,,,
-45.1176,0.667,719,0.4474,1.4524,4585,4585,5307,722,0,1,1,0.0,0,0,2.0994,7.6252,2.8172,6.5952,579.1418,753.0,0,0,0,A3,161.0,2837.0,1,12,0,A2A3_1,92.0,1519.0,0.008,9,2026-05-26T08:16:18.248712,,,,,,,,,,,,
-36.748,0.6537,719,0.8415,1.5952,4692,4692,5260,568,0,0,0,0.0,0,0,1.9298,6.5408,2.3912,4.4286,493.0584,610.0,0,0,0,A1,106.0,1698.0,1,12,0,W_A0A1_1,66.0,1368.0,0.0087,10,2026-05-26T08:20:45.672483,-28.395,0.0,1.5426,2.0714,5111.0,0.0,0.0,0.0,1.3451,4.5403,1.7767,3.619
