reward,epsilon,steps,avg_delay,avg_queue,throughput,arrived_vehicles,departed_vehicles,num_vehicles,emergency_stops,teleport_started,teleport_ended,recovery_active,local_safety_active_tls,local_safety_overrides,episode_mean_avg_delay,episode_max_avg_delay,episode_mean_avg_queue,episode_max_avg_queue,episode_mean_num_vehicles,episode_max_num_vehicles,episode_recovery_steps,episode_local_safety_steps,episode_local_safety_overrides,episode_peak_top_tl,episode_peak_top_tl_queue,episode_peak_top_tl_waiting,episode_peak_top_tl_phase,episode_peak_top_tl_phase_duration,episode_peak_top_tl_action,episode_peak_top_lane,episode_peak_top_lane_queue,episode_peak_top_lane_waiting,loss_rl,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops,eval_teleport_started,eval_teleport_ended,eval_episode_mean_delay,eval_episode_max_delay,eval_episode_mean_queue,eval_episode_max_queue
-69.3348,0.784,719,1.1817,2.8095,4497,4497,5108,611,0,0,0,0.0,0,0,3.8986,36.2432,3.3159,6.5952,550.299,661.0,96,0,0,A2,172.0,16357.0,1,17,1,A1A2_1,87.0,10292.0,0.0265,1,2026-05-26T08:28:56.711934,,,,,,,,,,,,
-56.8586,0.7683,719,2.0966,3.2143,4471,4471,5185,714,0,0,0,0.0,0,0,2.6752,14.9068,3.3864,6.5476,611.694,775.0,42,0,0,A2,137.0,3423.0,0,22,0,A1A2_1,81.0,2047.0,0.0115,2,2026-05-26T08:31:26.357489,,,,,,,,,,,,
-53.1283,0.753,719,2.9477,6.1667,4538,4538,5360,822,0,0,0,1.0,0,0,2.3918,14.3317,3.259,6.5714,627.8818,843.0,92,0,0,A3,173.0,2352.0,1,17,1,A2A3_1,107.0,1701.0,0.0074,3,2026-05-26T08:37:09.309130,,,,,,,,,,,,
-45.7584,0.7379,719,4.9768,5.1429,4600,4600,5246,646,0,0,0,0.0,0,0,2.3777,8.3076,2.792,5.1429,535.42,653.0,0,0,0,A2,156.0,2897.0,0,2,0,A1A2_1,105.0,2011.0,0.0074,4,2026-05-26T08:42:00.055828,,,,,,,,,,,,
-40.1846,0.7231,719,1.8024,2.8333,4638,4638,5220,582,0,0,0,0.0,0,0,2.2109,8.4344,2.4384,5.1667,489.6954,588.0,0,0,0,A1,137.0,2150.0,0,2,0,W_A0A1_1,82.0,1403.0,0.0075,5,2026-05-26T08:48:34.457724,-34.5368,0.0,1.431,2.7619,5098.0,0.0,0.0,0.0,1.5751,5.9077,2.0272,4.119
-50.876,0.7087,719,1.8794,3.4524,4606,4606,5369,763,0,0,0,0.0,0,0,2.3562,12.7021,3.0548,7.2857,610.0751,814.0,56,0,0,A3,153.0,6012.0,0,12,1,A2A3_1,98.0,4060.0,0.0076,6,2026-05-26T08:50:58.999827,,,,,,,,,,,,
-44.8761,0.6945,719,1.3668,3.1667,4599,4599,5406,807,0,0,0,0.0,0,0,2.0191,6.052,2.9308,6.2619,597.2795,868.0,17,0,0,A1,120.0,1086.0,1,17,1,W_A0A1_1,65.0,481.0,0.0081,7,2026-05-26T08:53:24.720651,,,,,,,,,,,,
-43.7504,0.6806,719,1.0575,2.5714,4670,4670,5400,730,0,0,0,0.0,0,0,2.1145,13.8132,2.598,6.1667,554.5717,759.0,23,0,0,A3,145.0,9039.0,0,2,0,A2A3_1,84.0,5367.0,0.0094,8,2026-05-26T08:55:40.284633,,,,,,,,,,,,
-42.0689,0.667,719,2.7628,3.2381,4682,4682,5403,721,0,0,0,0.0,0,0,1.922,6.0164,2.7498,5.6905,587.5855,780.0,0,0,0,A2,126.0,1625.0,0,2,0,A1A2_1,71.0,920.0,0.0106,9,2026-05-26T08:58:04.451502,,,,,,,,,,,,
-46.9828,0.6537,719,3.1877,4.3571,4660,4660,5310,650,0,0,0,0.0,0,0,2.2815,12.2391,2.8769,6.5952,564.1794,700.0,46,0,0,A2,157.0,7129.0,0,22,0,A1A2_1,92.0,4363.0,0.0114,10,2026-05-26T09:02:11.237039,-32.9082,0.0,4.2245,4.6905,5204.0,0.0,0.0,0.0,1.5567,7.1608,1.8835,4.6905
