reward,epsilon,steps,avg_delay,avg_queue,throughput,arrived_vehicles,departed_vehicles,num_vehicles,emergency_stops,teleport_started,teleport_ended,recovery_active,local_safety_active_tls,local_safety_overrides,episode_mean_avg_delay,episode_max_avg_delay,episode_mean_avg_queue,episode_max_avg_queue,episode_mean_num_vehicles,episode_max_num_vehicles,episode_recovery_steps,episode_local_safety_steps,episode_local_safety_overrides,episode_peak_top_tl,episode_peak_top_tl_queue,episode_peak_top_tl_waiting,episode_peak_top_tl_phase,episode_peak_top_tl_phase_duration,episode_peak_top_tl_action,episode_peak_top_lane,episode_peak_top_lane_queue,episode_peak_top_lane_waiting,loss_rl,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops,eval_teleport_started,eval_teleport_ended,eval_episode_mean_delay,eval_episode_max_delay,eval_episode_mean_queue,eval_episode_max_queue
-58.9218,0.784,719,2.1624,2.9524,4427,4427,5092,665,0,0,0,0.0,0,0,2.9815,12.5536,3.3345,6.9048,568.9694,745.0,20,0,0,A2,172.0,5606.0,1,23,1,A1A2_1,87.0,3612.0,0.0039,1,2026-05-26T14:13:23.322389,,,,,,,,,,,,
-55.6063,0.7683,719,2.6009,4.1429,4455,4455,5129,674,0,0,0,0.0,0,0,2.8929,16.5546,3.1113,6.4524,561.6231,708.0,29,0,0,A1,186.0,3266.0,1,28,1,W_A0A1_1,101.0,1774.0,0.0049,2,2026-05-26T14:16:31.130764,,,,,,,,,,,,
-44.9429,0.753,719,2.967,3.7381,4600,4600,5297,697,0,0,0,0.0,0,0,2.1786,8.0427,2.7698,5.2619,570.9777,715.0,0,0,0,A2,122.0,3916.0,1,33,1,A1A2_1,65.0,2926.0,0.004,3,2026-05-26T14:21:06.118772,,,,,,,,,,,,
-37.5565,0.7379,719,1.4689,2.4286,4625,4625,5235,610,0,0,0,0.0,0,0,2.1194,7.311,2.3447,4.7857,478.5341,610.0,0,0,0,A1,134.0,1931.0,1,13,0,W_A0A1_1,89.0,1526.0,0.0041,4,2026-05-26T14:25:29.408527,,,,,,,,,,,,
-41.1505,0.7231,719,2.6629,2.5476,4635,4635,5252,617,0,0,0,0.0,0,0,2.2513,13.1113,2.4404,5.3571,504.2114,637.0,0,0,0,A3,125.0,3658.0,0,8,0,A2A3_1,79.0,2139.0,0.0047,5,2026-05-26T14:31:51.584668,-21.7922,0.0,0.485,1.7619,5262.0,0.0,0.0,0.0,1.0472,2.6902,1.3941,3.2381
-44.7769,0.7087,719,1.4085,3.7143,4694,4694,5470,776,0,0,0,0.0,0,0,2.0146,6.1713,2.7894,6.2619,596.5271,809.0,62,0,0,A2,165.0,3582.0,0,8,1,A1A2_1,108.0,2335.0,0.0051,6,2026-05-26T14:34:05.656101,,,,,,,,,,,,
-47.917,0.6945,719,1.0787,2.3095,4730,4730,5429,699,0,0,0,0.0,0,0,2.3641,8.7592,2.7104,6.0,565.4451,787.0,110,0,0,A2,180.0,3753.0,0,8,0,A1A2_1,119.0,2364.0,0.0058,7,2026-05-26T14:38:04.123601,,,,,,,,,,,,
-41.485,0.6806,719,2.4401,3.5238,4730,4730,5514,784,0,0,0,1.0,0,0,1.8293,7.809,2.6128,6.9524,596.452,791.0,15,0,0,A3,140.0,4241.0,0,18,0,A2A3_1,71.0,2094.0,0.0073,8,2026-05-26T14:40:20.735641,,,,,,,,,,,,
-42.6077,0.667,719,1.7827,3.7143,4739,4739,5420,681,0,0,0,0.0,0,0,2.1715,14.2814,2.526,5.0952,555.5355,700.0,0,0,0,A2,149.0,5229.0,0,3,0,A1A2_1,90.0,3335.0,0.0082,9,2026-05-26T14:42:27.990604,,,,,,,,,,,,
-35.0908,0.6537,719,2.6489,3.5238,4715,4715,5353,638,0,0,0,0.0,0,0,1.8352,11.7151,2.2471,4.9762,512.2086,639.0,0,0,0,A1,131.0,3025.0,0,3,0,W_A0A1_1,88.0,2620.0,0.0088,10,2026-05-26T14:46:18.057394,-22.0337,0.0,0.6958,1.3095,5316.0,0.0,0.0,0.0,1.0682,6.8671,1.4557,3.2857
