reward,epsilon,steps,avg_delay,avg_queue,throughput,arrived_vehicles,departed_vehicles,num_vehicles,emergency_stops,teleport_started,teleport_ended,recovery_active,local_safety_active_tls,local_safety_overrides,episode_mean_avg_delay,episode_max_avg_delay,episode_mean_avg_queue,episode_max_avg_queue,episode_mean_num_vehicles,episode_max_num_vehicles,episode_recovery_steps,episode_local_safety_steps,episode_local_safety_overrides,episode_peak_top_tl,episode_peak_top_tl_queue,episode_peak_top_tl_waiting,episode_peak_top_tl_phase,episode_peak_top_tl_phase_duration,episode_peak_top_tl_action,episode_peak_top_lane,episode_peak_top_lane_queue,episode_peak_top_lane_waiting,loss_rl,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops,eval_teleport_started,eval_teleport_ended,eval_episode_mean_delay,eval_episode_max_delay,eval_episode_mean_queue,eval_episode_max_queue
-49.0747,0.768,719,1.378,2.619,4558,4558,5140,582,0,0,0,0.0,0,0,2.5288,7.54,2.9778,5.8333,536.566,659.0,56,0,0,A1,138.0,2206.0,0,3,0,W_A0A1_1,78.0,1234.0,0.0028,1,2026-05-26T23:26:10.784802,,,,,,,,,,,,
-47.4542,0.7373,719,1.9853,3.4286,4563,4563,5243,680,0,0,0,0.0,0,0,2.4125,7.0341,2.9107,5.6667,543.8428,711.0,42,0,0,A1,122.0,2571.0,1,23,1,W_A0A1_1,67.0,1909.0,0.0019,2,2026-05-26T23:31:08.429449,,,,,,,,,,,,
-43.3203,0.7078,719,1.9689,2.2857,4653,4653,5328,675,0,0,0,0.0,0,0,2.074,6.1962,2.6466,5.3571,568.0014,725.0,62,0,0,A1,165.0,3535.0,1,13,0,W_A0A1_1,102.0,2708.0,0.0016,3,2026-05-26T23:36:17.536563,,,,,,,,,,,,
-37.4943,0.6795,719,2.4425,3.0,4717,4717,5239,522,0,0,0,0.0,0,0,2.1176,7.1437,2.2797,5.0714,470.6565,592.0,8,0,0,A1,133.0,2080.0,1,13,0,W_A0A1_1,83.0,1569.0,0.0023,4,2026-05-26T23:40:26.583852,,,,,,,,,,,,
-40.2981,0.6523,719,2.3403,3.3095,4709,4709,5329,620,0,0,0,0.0,0,0,2.0326,9.1505,2.4793,5.0476,532.7955,665.0,57,0,0,A3,126.0,3547.0,1,13,0,A2A3_1,71.0,2421.0,0.0031,5,2026-05-26T23:49:47.952984,-31.5131,0.0,1.2143,2.1905,4989.0,0.0,0.0,0.0,1.6339,9.4628,1.7992,5.4762
-39.7298,0.6262,719,2.063,3.1905,4731,4731,5477,746,0,1,1,0.0,0,0,1.7438,5.4631,2.5451,5.9286,597.2281,802.0,58,0,0,A1,133.0,2578.0,0,3,0,W_A0A1_1,80.0,2119.0,0.0035,6,2026-05-26T23:55:15.697455,,,,,,,,,,,,
-34.1796,0.6012,719,0.6403,2.1429,4783,4783,5503,720,0,0,0,0.0,0,0,1.6624,4.6472,2.2055,4.9286,520.7733,764.0,21,0,0,A2,104.0,1142.0,1,13,1,A1A2_1,67.0,804.0,0.0039,7,2026-05-26T23:59:25.242105,,,,,,,,,,,,
-34.0092,0.5771,719,1.06,1.6667,4803,4803,5470,667,0,0,0,0.0,0,0,1.7828,8.4053,2.0981,4.5952,503.9152,735.0,0,0,0,A2,104.0,995.0,1,18,1,A1A2_1,69.0,730.0,0.0046,8,2026-05-27T00:03:29.419514,,,,,,,,,,,,
-33.5458,0.554,719,0.9029,2.5,4803,4803,5503,700,0,1,1,0.0,0,0,1.8103,8.8202,2.0791,4.7381,494.4312,700.0,19,0,0,A2,128.0,2909.0,1,8,1,A1A2_1,67.0,1778.0,0.0049,9,2026-05-27T00:07:25.615755,,,,,,,,,,,,
-34.4928,0.5319,719,0.7025,1.5,4845,4845,5524,679,0,2,2,0.0,0,0,1.745,6.3443,2.1731,5.0714,530.0904,738.0,44,0,0,A2,118.0,1249.0,1,13,1,A1A2_1,77.0,927.0,0.0053,10,2026-05-27T00:15:27.103442,-33.2758,0.0,1.0646,2.0,5110.0,0.0,0.0,0.0,1.9205,22.182,1.7275,6.381
