reward,epsilon,steps,avg_delay,avg_queue,throughput,arrived_vehicles,departed_vehicles,num_vehicles,emergency_stops,teleport_started,teleport_ended,recovery_active,local_safety_active_tls,local_safety_overrides,episode_mean_avg_delay,episode_max_avg_delay,episode_mean_avg_queue,episode_max_avg_queue,episode_mean_num_vehicles,episode_max_num_vehicles,episode_recovery_steps,episode_local_safety_steps,episode_local_safety_overrides,episode_peak_top_tl,episode_peak_top_tl_queue,episode_peak_top_tl_waiting,episode_peak_top_tl_phase,episode_peak_top_tl_phase_duration,episode_peak_top_tl_action,episode_peak_top_lane,episode_peak_top_lane_queue,episode_peak_top_lane_waiting,loss_rl,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops,eval_teleport_started,eval_teleport_ended,eval_episode_mean_delay,eval_episode_max_delay,eval_episode_mean_queue,eval_episode_max_queue
-47.7131,0.784,719,1.9123,3.6429,4620,4620,5395,775,0,0,0,1.0,0,0,2.326,14.531,2.8472,5.9286,591.6161,775.0,139,0,0,A2,119.0,6466.0,1,13,0,A1A2_1,65.0,4244.0,0.0035,1,2026-05-28T04:03:21.079180,,,,,,,,,,,,
-43.2338,0.7683,719,1.6292,2.4048,4637,4637,5295,658,0,1,1,0.0,0,0,2.248,7.3225,2.6351,4.8333,530.1683,658.0,19,0,0,A1,123.0,2006.0,1,23,1,W_A0A1_1,67.0,1204.0,0.0024,2,2026-05-28T04:07:15.553870,,,,,,,,,,,,
-41.9094,0.753,719,0.8878,2.9286,4634,4634,5267,633,0,0,0,0.0,0,0,2.1154,8.2334,2.6335,4.9048,540.5688,678.0,10,0,0,A2,115.0,4156.0,0,13,1,A1A2_1,72.0,2883.0,0.0022,3,2026-05-28T04:11:14.739900,,,,,,,,,,,,
-44.0579,0.7379,719,1.3303,2.5476,4625,4625,5291,666,0,0,0,0.0,0,0,2.2052,11.3951,2.7154,5.6667,548.3867,719.0,37,0,0,A2,174.0,2979.0,0,18,0,A1A2_1,102.0,1685.0,0.0029,4,2026-05-28T04:15:14.005730,,,,,,,,,,,,
-37.3483,0.7231,719,2.3638,3.1667,4717,4717,5374,657,0,0,0,0.0,0,0,1.8062,9.54,2.3982,6.4762,535.9332,687.0,41,0,0,A1,126.0,2773.0,1,33,1,W_A0A1_1,64.0,1801.0,0.0037,5,2026-05-28T04:23:19.885359,-26.7046,0.0,1.0112,1.881,5207.0,0.0,0.0,0.0,1.241,9.7486,1.6881,3.7619
-34.5678,0.7087,719,1.6189,2.2381,4748,4748,5278,530,0,0,0,0.0,0,0,1.9053,6.0367,2.1931,4.5952,474.9666,567.0,0,0,0,A1,129.0,1808.0,1,33,1,W_A0A1_1,78.0,939.0,0.0041,6,2026-05-28T04:26:52.930912,,,,,,,,,,,,
-44.1675,0.6945,719,1.7474,3.0,4718,4718,5478,760,0,0,0,0.0,0,0,2.177,14.3707,2.6165,5.1429,579.9708,760.0,92,0,0,A3,126.0,2014.0,1,13,0,A2A3_1,72.0,1079.0,0.0046,7,2026-05-28T04:31:12.330468,,,,,,,,,,,,
-40.6498,0.6806,719,1.2186,2.6905,4787,4787,5496,709,0,0,0,0.0,0,0,2.022,15.6454,2.4845,5.381,572.8693,729.0,27,0,0,A2,108.0,998.0,1,13,0,A1A2_1,66.0,713.0,0.0064,8,2026-05-28T04:35:22.230426,,,,,,,,,,,,
-38.1673,0.667,719,0.5825,1.9762,4705,4705,5426,721,0,0,0,0.0,0,0,1.8962,10.061,2.3686,5.1429,545.1002,721.0,14,0,0,A3,105.0,1221.0,1,28,1,A2A3_1,58.0,639.0,0.0068,9,2026-05-28T04:39:08.890711,,,,,,,,,,,,
-46.291,0.6537,719,1.2442,2.2619,4748,4748,5399,651,0,0,0,0.0,0,0,2.4393,17.2226,2.5456,5.9762,553.3032,695.0,53,0,0,A3,135.0,9490.0,0,23,0,A2A3_1,91.0,5214.0,0.0078,10,2026-05-28T04:46:49.026570,-24.3709,0.0,0.5515,1.3333,5208.0,0.0,0.0,0.0,1.1659,7.7052,1.5421,3.8333
