reward,epsilon,steps,avg_delay,avg_queue,throughput,arrived_vehicles,departed_vehicles,num_vehicles,emergency_stops,teleport_started,teleport_ended,recovery_active,local_safety_active_tls,local_safety_overrides,episode_mean_avg_delay,episode_max_avg_delay,episode_mean_avg_queue,episode_max_avg_queue,episode_mean_num_vehicles,episode_max_num_vehicles,episode_recovery_steps,episode_local_safety_steps,episode_local_safety_overrides,episode_peak_top_tl,episode_peak_top_tl_queue,episode_peak_top_tl_waiting,episode_peak_top_tl_phase,episode_peak_top_tl_phase_duration,episode_peak_top_tl_action,episode_peak_top_lane,episode_peak_top_lane_queue,episode_peak_top_lane_waiting,loss_rl,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops,eval_teleport_started,eval_teleport_ended,eval_episode_mean_delay,eval_episode_max_delay,eval_episode_mean_queue,eval_episode_max_queue
-48.3178,0.784,719,1.4927,3.6905,4509,4509,5197,688,0,0,0,0.0,0,0,2.5173,11.593,2.8307,5.619,542.9889,697.0,66,0,0,A1,147.0,3175.0,1,33,1,W_A0A1_1,64.0,1821.0,0.0028,1,2026-06-02T07:32:14.088962,,,,,,,,,,,,
-49.9171,0.7683,719,2.5786,3.9048,4588,4588,5269,681,0,0,0,0.0,0,0,2.5443,13.3043,2.884,5.4762,562.8248,716.0,100,0,0,A2,150.0,6215.0,1,13,0,A1A2_1,82.0,3230.0,0.003,2,2026-06-02T07:36:32.008307,,,,,,,,,,,,
-58.1274,0.753,719,3.0884,3.8571,4634,4634,5290,656,0,0,0,0.0,0,0,3.5285,32.2824,2.6892,6.8095,522.5466,677.0,81,0,0,A1,253.0,15809.0,0,33,0,W_A0A1_1,161.0,8037.0,0.0073,3,2026-06-02T07:40:33.808545,,,,,,,,,,,,
-40.5295,0.7379,719,0.8525,2.119,4701,4701,5406,705,0,1,1,0.0,0,0,1.9164,8.6067,2.6259,5.881,580.3533,763.0,60,0,0,A1,122.0,1495.0,1,13,0,W_A0A1_1,78.0,1008.0,0.0077,4,2026-06-02T07:44:55.134521,,,,,,,,,,,,
-39.7306,0.7231,719,3.7778,3.5714,4657,4657,5314,657,0,0,0,0.0,0,0,2.083,7.3456,2.4296,4.7857,517.548,666.0,0,0,0,A1,110.0,1508.0,1,13,0,W_A0A1_1,80.0,1316.0,0.0075,5,2026-06-02T07:50:58.422971,-22.0486,0.0,1.3828,2.3333,5141.0,0.0,0.0,0.0,1.1214,4.3069,1.4119,3.0
-47.4193,0.7087,719,1.7696,3.619,4753,4753,5530,777,0,0,0,0.0,0,0,2.2556,17.7508,2.6611,5.8333,615.1863,806.0,93,0,0,A3,159.0,10004.0,0,23,0,A2A3_1,79.0,4981.0,0.0078,6,2026-06-02T07:53:50.104720,,,,,,,,,,,,
-43.5508,0.6945,719,1.5433,2.9524,4717,4717,5398,681,0,0,0,0.0,0,0,2.133,9.256,2.7011,5.1429,560.0737,701.0,77,0,0,A1,153.0,3996.0,1,18,1,W_A0A1_1,95.0,3197.0,0.0088,7,2026-06-02T07:55:46.492377,,,,,,,,,,,,
-36.8031,0.6806,719,0.7467,2.2143,4708,4708,5383,675,0,0,0,0.0,0,0,2.0281,9.5149,2.2047,4.7619,487.0515,679.0,8,0,0,A1,131.0,1293.0,1,18,1,W_A0A1_1,70.0,698.0,0.0099,8,2026-06-02T07:57:40.681837,,,,,,,,,,,,
-51.0529,0.667,719,0.6104,1.9286,4723,4723,5452,729,0,1,1,0.0,0,0,2.6449,25.8861,2.7912,6.5714,590.8094,757.0,117,0,0,A2,153.0,5265.0,0,23,0,A1A2_1,91.0,2584.0,0.0111,9,2026-06-02T07:59:44.748128,,,,,,,,,,,,
-44.6694,0.6537,719,0.8035,2.5,4718,4718,5466,748,0,0,0,0.0,0,0,2.019,9.7517,2.7815,5.3571,610.2365,807.0,82,0,0,A3,157.0,4862.0,0,13,0,A2A3_1,97.0,3036.0,0.0124,10,2026-06-02T08:03:43.934398,-25.9195,0.0,1.0341,1.7857,5125.0,0.0,0.0,0.0,1.2292,6.806,1.696,4.0714
