reward,epsilon,steps,avg_delay,avg_queue,throughput,arrived_vehicles,departed_vehicles,num_vehicles,emergency_stops,teleport_started,teleport_ended,recovery_active,local_safety_active_tls,local_safety_overrides,episode_mean_avg_delay,episode_max_avg_delay,episode_mean_avg_queue,episode_max_avg_queue,episode_mean_num_vehicles,episode_max_num_vehicles,episode_recovery_steps,episode_local_safety_steps,episode_local_safety_overrides,episode_peak_top_tl,episode_peak_top_tl_queue,episode_peak_top_tl_waiting,episode_peak_top_tl_phase,episode_peak_top_tl_phase_duration,episode_peak_top_tl_action,episode_peak_top_lane,episode_peak_top_lane_queue,episode_peak_top_lane_waiting,loss_rl,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops,eval_teleport_started,eval_teleport_ended,eval_episode_mean_delay,eval_episode_max_delay,eval_episode_mean_queue,eval_episode_max_queue
-27.722,0.784,719,1.0669,2.0,3950,3950,4503,553,0,0,0,0.0,0,0,1.5361,10.0375,1.8799,4.7143,442.0111,554.0,0,0,0,A2,125.0,4639.0,0,13,1,A3A2_1,80.0,2898.0,0.002,1,2026-06-02T15:36:47.703151,,,,,,,,,,,,
-22.8222,0.7683,719,1.9037,2.5952,3959,3959,4468,509,0,0,0,0.0,0,0,1.2635,5.4344,1.6699,3.4762,425.2726,528.0,0,0,0,A3,89.0,963.0,1,13,1,E_A4A3_1,54.0,661.0,0.0016,2,2026-06-02T15:38:23.649120,,,,,,,,,,,,
-22.2649,0.753,719,3.0778,2.5714,4096,4096,4610,514,0,0,0,0.0,0,0,1.074,3.666,1.6417,3.5476,469.5188,614.0,0,0,0,A3,113.0,1141.0,1,28,1,E_A4A3_1,73.0,748.0,0.0008,3,2026-06-02T15:40:29.442630,,,,,,,,,,,,
-20.8779,0.7379,719,0.9387,1.7381,4343,4343,4865,522,0,0,0,0.0,0,0,1.0364,5.4633,1.5553,3.7857,475.8581,596.0,0,0,0,A3,84.0,809.0,0,3,0,E_A4A3_1,49.0,506.0,0.0008,4,2026-06-02T15:42:24.691687,,,,,,,,,,,,
-20.5443,0.7231,719,1.6302,2.4048,4348,4348,4897,549,0,0,0,0.0,0,0,0.9529,4.2738,1.4825,3.619,484.6356,592.0,0,0,0,A1,79.0,1598.0,0,3,0,A2A1_1,54.0,1080.0,0.0009,5,2026-06-02T15:46:01.255401,-16.6296,0.0,1.2006,1.5952,5115.0,0.0,0.0,0.0,1.1103,5.7788,0.8261,2.0476
-20.3387,0.7087,719,0.398,1.0,4284,4284,4794,510,0,0,0,0.0,0,0,1.0107,4.06,1.4434,3.5476,443.5883,588.0,0,0,0,A2,82.0,647.0,1,18,1,A3A2_1,61.0,512.0,0.001,6,2026-06-02T15:49:59.902597,,,,,,,,,,,,
-19.3522,0.6945,719,0.2239,0.7143,4247,4247,4716,469,0,0,0,0.0,0,0,1.0273,4.3356,1.3934,3.4286,417.5508,490.0,0,0,0,A3,80.0,852.0,1,18,1,E_A4A3_1,48.0,576.0,0.001,7,2026-06-02T15:53:27.686245,,,,,,,,,,,,
-17.9331,0.6806,719,1.9236,2.2857,4379,4379,4850,471,0,1,1,0.0,0,0,0.9131,3.3642,1.3104,3.1429,422.6676,503.0,0,0,0,A2,65.0,1028.0,1,33,1,A3A2_1,37.0,573.0,0.0011,8,2026-06-02T15:56:59.005416,,,,,,,,,,,,
-18.7265,0.667,719,0.9071,1.7381,4269,4269,4764,495,0,0,0,0.0,0,0,0.9783,4.383,1.3991,3.2619,420.7997,499.0,0,0,0,A3,68.0,506.0,1,18,1,E_A4A3_1,39.0,328.0,0.001,9,2026-06-02T16:00:33.769622,,,,,,,,,,,,
-21.5061,0.6537,719,0.4832,1.2857,4180,4180,4747,567,0,0,0,0.0,0,0,0.9425,3.3946,1.6321,4.0952,505.3505,624.0,0,0,0,A3,91.0,941.0,1,28,1,E_A4A3_1,57.0,556.0,0.001,10,2026-06-02T16:09:13.759988,-13.7721,0.0,0.9244,2.0476,4646.0,0.0,0.0,0.0,0.5104,1.7462,1.0685,2.1429
