reward,epsilon,steps,avg_delay,avg_queue,throughput,arrived_vehicles,departed_vehicles,num_vehicles,emergency_stops,teleport_started,teleport_ended,recovery_active,local_safety_active_tls,local_safety_overrides,episode_mean_avg_delay,episode_max_avg_delay,episode_mean_avg_queue,episode_max_avg_queue,episode_mean_num_vehicles,episode_max_num_vehicles,episode_recovery_steps,episode_local_safety_steps,episode_local_safety_overrides,episode_peak_top_tl,episode_peak_top_tl_queue,episode_peak_top_tl_waiting,episode_peak_top_tl_phase,episode_peak_top_tl_phase_duration,episode_peak_top_tl_action,episode_peak_top_lane,episode_peak_top_lane_queue,episode_peak_top_lane_waiting,loss_rl,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops,eval_teleport_started,eval_teleport_ended,eval_episode_mean_delay,eval_episode_max_delay,eval_episode_mean_queue,eval_episode_max_queue
-167.5913,0.768,719,12.2391,4.6806,4908,4908,5594,686,0,6,6,1.0,0,0,7.8047,108.2333,3.3491,12.8333,678.8971,1071.0,427,0,0,B1,431.0,38841.0,0,27,0,B0B1_0,64.0,3134.0,0.0591,1,2026-06-04T01:44:31.732097,,,,,,,,,,,,
-202.2079,0.7373,719,4.7997,3.5,4870,4870,5574,704,0,4,4,1.0,0,0,9.2853,133.07,3.2727,14.0972,670.8539,1129.0,387,0,0,B1,449.0,81498.0,0,7,0,B0B1_1,69.0,14059.0,0.0693,2,2026-06-04T01:48:24.949506,,,,,,,,,,,,
-190.5833,0.7078,719,4.0317,3.4444,4877,4877,5571,693,0,5,4,1.0,0,0,11.5502,187.9923,3.1482,10.6389,667.3074,1041.0,392,0,0,B1,388.0,83132.0,0,37,0,B2B1_0,61.0,13350.0,0.0599,3,2026-06-04T01:52:08.875696,,,,,,,,,,,,
-69.7015,0.6795,719,15.3124,4.2361,5127,5127,5812,685,0,0,0,1.0,0,0,2.6104,16.1429,2.7284,5.5139,666.5438,1034.0,422,0,0,A1,147.0,2344.0,0,12,1,left1A1_1,44.0,687.0,0.0675,4,2026-06-04T01:56:52.780296,,,,,,,,,,,,
-315.0542,0.6523,719,3.5042,3.4028,4653,4653,5373,720,0,13,13,1.0,0,0,15.655,197.2077,3.8479,14.5278,680.0723,1097.0,396,0,0,B1,457.0,111415.0,1,2,1,top1B2_1,72.0,14463.0,0.0751,5,2026-06-04T02:04:32.127406,-336.3501,0.0,3.032,2.8611,4602.0,0.0,16.0,16.0,18.8696,173.0369,3.7075,13.4306
-66.9245,0.6262,719,7.3487,3.375,5198,5198,5849,651,0,1,1,1.0,0,0,2.7192,22.9015,2.5218,5.0556,647.6384,1001.0,400,0,0,B1,156.0,2950.0,1,2,1,C1B1_1,41.0,723.0,0.0885,6,2026-06-04T02:08:28.863767,,,,,,,,,,,,
-60.2557,0.6012,719,2.6374,3.1667,5172,5172,5867,695,0,1,1,1.0,0,0,2.0821,7.519,2.4979,5.3056,645.0042,990.0,395,0,0,A1,179.0,2935.0,0,7,0,A0A1_1,50.0,787.0,0.0822,7,2026-06-04T02:12:15.912536,,,,,,,,,,,,
-66.1501,0.5771,719,6.0981,4.8194,5202,5202,5926,724,0,2,2,1.0,0,0,2.1789,10.9565,2.7249,5.9722,681.8734,1032.0,418,0,0,A1,173.0,3372.0,0,22,0,A0A1_0,54.0,1834.0,0.0876,8,2026-06-04T02:16:05.318118,,,,,,,,,,,,
-224.2852,0.554,719,2.8116,2.9444,4817,4817,5507,690,0,10,10,1.0,0,0,10.6597,162.4485,3.4303,13.9583,685.879,1093.0,418,0,0,B1,458.0,100704.0,0,32,0,B0B1_1,66.0,15156.0,0.0915,9,2026-06-04T02:20:00.419048,,,,,,,,,,,,
-67.0918,0.5319,719,5.776,4.4167,5156,5156,5848,692,0,0,0,1.0,0,0,2.4992,13.0166,2.622,5.375,640.8094,1009.0,408,0,0,B1,159.0,2333.0,0,22,0,C1B1_1,35.0,852.0,0.0977,10,2026-06-04T02:27:26.124605,-64.3929,0.0,10.1426,5.1667,5182.0,0.0,1.0,1.0,2.203,11.5196,2.6038,5.25
-317.6482,0.5106,719,2.073,2.9861,4585,4585,5338,753,0,4,4,1.0,0,0,16.4804,160.1402,3.939,13.4306,688.4409,1059.0,400,0,0,B1,454.0,50081.0,1,7,0,bottom1B0_1,72.0,4530.0,0.1074,11,2026-06-04T02:31:23.068509,,,,,,,,,,,,
-73.6038,0.4902,719,5.8839,3.9722,5138,5138,5810,672,0,0,0,1.0,0,0,2.7151,14.1908,2.8043,6.1389,662.0779,993.0,409,0,0,B1,209.0,1998.0,0,12,0,C1B1_1,43.0,684.0,0.1247,12,2026-06-04T02:35:17.524428,,,,,,,,,,,,
-69.7047,0.4706,719,9.8802,3.8333,5151,5151,5802,651,0,1,1,1.0,0,0,2.6476,13.3099,2.697,5.3611,658.6426,1018.0,438,0,0,B1,173.0,2258.0,1,2,1,C1B1_1,43.0,1101.0,0.1274,13,2026-06-04T02:39:10.611604,,,,,,,,,,,,
-63.6718,0.4517,719,5.3867,5.0,5198,5198,5922,724,0,0,0,1.0,0,0,2.0922,7.9268,2.6357,6.625,673.1029,1014.0,430,0,0,B1,211.0,3942.0,1,37,1,top1B2_1,48.0,866.0,0.1305,14,2026-06-04T02:43:04.131735,,,,,,,,,,,,
-233.9697,0.4337,719,5.5402,3.8889,4853,4853,5562,709,0,8,8,1.0,0,0,10.8378,164.3355,3.5154,13.8889,710.1836,1103.0,418,0,0,B1,420.0,52649.0,0,27,0,B0B1_0,63.0,8205.0,0.1408,15,2026-06-04T02:50:40.431179,-84.0584,0.0,2.7445,3.2778,5000.0,0.0,1.0,1.0,4.4265,60.4052,2.7966,5.3889
-66.4023,0.4163,719,4.7675,4.0694,5185,5185,5869,684,0,2,2,1.0,0,0,2.2403,8.4971,2.7081,5.5694,673.6147,1034.0,410,0,0,B1,160.0,2030.0,0,2,0,B2B1_1,50.0,1015.0,0.1477,16,2026-06-04T02:54:28.915315,,,,,,,,,,,,
-335.8906,0.3997,719,5.0315,3.1944,4578,4578,5308,730,0,15,15,1.0,0,0,17.5263,155.6919,3.9599,13.5556,706.1752,1089.0,424,0,0,B1,436.0,31264.0,1,37,1,B2B1_1,61.0,5236.0,0.1489,17,2026-06-04T02:58:24.886514,,,,,,,,,,,,
-77.0826,0.3837,719,36.6944,8.0556,5043,5043,5848,805,0,0,0,1.0,0,0,2.7774,36.6944,2.8929,8.0556,692.3422,1038.0,444,0,0,B1,285.0,8019.0,0,2,0,B2B1_0,51.0,1084.0,0.1588,18,2026-06-04T03:02:27.115466,,,,,,,,,,,,
-332.2497,0.3683,719,41.4854,4.5,4633,4633,5356,721,0,20,18,1.0,0,0,18.359,192.136,3.9341,13.1528,712.4158,1131.0,423,0,0,B1,431.0,50874.0,0,27,0,B0B1_1,64.0,9555.0,0.1673,19,2026-06-04T03:06:27.181513,,,,,,,,,,,,
-68.7057,0.3536,719,6.0,3.9722,5092,5092,5765,673,0,1,1,1.0,0,0,2.3972,12.4069,2.7275,6.0417,676.9611,998.0,428,0,0,B1,169.0,1484.0,0,12,1,C1B1_1,33.0,325.0,0.1776,20,2026-06-04T03:14:09.846651,-143.2884,0.0,6.6936,4.6806,4975.0,0.0,7.0,7.0,5.926,75.8662,3.1185,12.5
-64.4098,0.3395,719,3.7331,4.0,5147,5147,5870,723,0,0,0,1.0,0,0,2.0824,9.0786,2.6708,5.7917,694.8915,1022.0,427,0,0,B1,193.0,1927.0,1,2,1,C1B1_1,40.0,551.0,0.185,21,2026-06-04T03:18:02.173532,,,,,,,,,,,,
-67.5501,0.3259,719,6.4393,3.9444,5136,5136,5844,708,0,0,0,1.0,0,0,2.1953,7.8159,2.7552,5.4861,694.7844,1036.0,422,0,0,A1,170.0,2313.0,0,22,0,A0A1_1,64.0,921.0,0.188,22,2026-06-04T03:21:52.547934,,,,,,,,,,,,
-65.6842,0.3128,719,2.3802,2.8333,5167,5167,5822,655,0,1,1,1.0,0,0,2.2355,10.347,2.6846,5.125,681.6426,1009.0,416,0,0,A1,156.0,3476.0,0,42,0,A0A1_1,51.0,1031.0,0.1872,23,2026-06-04T03:25:44.253599,,,,,,,,,,,,
-71.3025,0.3003,719,5.2667,3.5556,5151,5151,5796,645,0,0,0,1.0,0,0,2.5052,11.4791,2.8115,5.5972,690.5772,1040.0,441,0,0,B1,158.0,1613.0,1,2,1,C1B1_1,36.0,392.0,0.1895,24,2026-06-04T03:29:43.330774,,,,,,,,,,,,
-229.3992,0.2883,719,5.5028,4.1111,4875,4875,5583,708,0,11,11,1.0,0,0,10.8901,175.3752,3.3474,14.0,710.4214,1078.0,421,0,0,B1,453.0,103083.0,1,2,0,bottom1B0_1,64.0,9157.0,0.1932,25,2026-06-04T03:37:27.391117,-61.8942,0.0,7.7057,4.2083,5155.0,0.0,1.0,1.0,1.9894,7.7057,2.6069,5.1528
-68.9513,0.2768,719,13.8797,5.1806,5218,5218,5908,690,0,0,0,1.0,0,0,2.592,23.6238,2.6296,5.6806,678.1558,1036.0,412,0,0,B1,183.0,2683.0,0,2,0,bottom1B0_1,47.0,1090.0,0.1977,26,2026-06-04T03:41:16.834491,,,,,,,,,,,,
-77.8398,0.2657,719,6.3612,3.4583,5082,5082,5799,717,0,1,1,1.0,0,0,2.724,13.0447,2.9143,8.0139,693.0918,1045.0,432,0,0,B1,333.0,8700.0,0,12,1,C1B1_1,56.0,2296.0,0.1985,27,2026-06-04T03:45:08.397030,,,,,,,,,,,,
-197.2889,0.2551,719,12.9335,5.9444,4794,4794,5501,707,0,7,7,1.0,0,0,8.6302,129.1096,3.4519,13.5139,712.8414,1129.0,427,0,0,B1,420.0,82244.0,0,32,0,B0B1_1,67.0,16228.0,0.2023,28,2026-06-04T03:49:05.066072,,,,,,,,,,,,
-67.8494,0.2449,719,7.0228,4.7361,5139,5139,5883,744,0,1,1,1.0,0,0,2.1939,7.0228,2.786,6.7778,686.5035,1034.0,436,0,0,B1,229.0,3143.0,1,22,1,B2B1_0,37.0,510.0,0.2179,29,2026-06-04T03:52:57.521440,,,,,,,,,,,,
-248.3402,0.2351,719,2.6299,3.5833,4854,4854,5562,708,0,11,11,1.0,0,0,10.6659,155.2952,3.6811,15.0556,751.3185,1206.0,427,0,0,B1,449.0,104331.0,0,12,0,B0B1_1,69.0,16451.0,0.2158,30,2026-06-04T04:01:03.240054,-238.7157,0.0,3.0237,3.4028,4815.0,0.0,9.0,9.0,10.2592,154.3647,3.53,15.0
-199.7317,0.2257,719,8.1964,4.2222,4842,4842,5560,718,0,8,8,1.0,0,0,8.9492,129.8937,3.4896,13.4306,711.8011,1104.0,420,0,0,B1,434.0,42396.0,1,22,1,left1A1_1,63.0,5738.0,0.2217,31,2026-06-04T04:05:03.681376,,,,,,,,,,,,
-102.7769,0.2167,719,3.1258,3.3472,5023,5023,5778,755,0,0,0,1.0,0,0,3.9706,56.3783,2.8986,13.1528,692.3922,1108.0,403,0,0,B1,466.0,39770.0,1,37,1,B0B1_1,67.0,6012.0,0.2311,32,2026-06-04T04:08:58.976479,,,,,,,,,,,,
-74.0279,0.208,719,3.4446,3.375,5144,5144,5812,668,0,0,0,1.0,0,0,2.3817,9.2915,2.9531,6.6944,705.3839,1077.0,427,0,0,B1,236.0,3145.0,1,22,1,B0B1_0,42.0,679.0,0.2308,33,2026-06-04T04:12:51.627037,,,,,,,,,,,,
