reward,epsilon,steps,avg_delay,avg_queue,throughput,emergency_stops,loss_rl,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops
-6490.5,0.95,719,0.9032258064516129,0.25,3507,0,177.44067310705418,1,2026-05-19T07:55:23.423502,,,,,,
-5833.611111111106,0.9025,719,1.5777777777777777,0.2916666666666667,3509,0,76.72995770259428,2,2026-05-19T07:56:33.745507,,,,,,
-5885.777777777779,0.8573749999999999,719,0.4639175257731959,0.18055555555555555,3503,0,55.0696776765444,3,2026-05-19T07:57:44.802199,,,,,,
-33397.666666666664,0.8145062499999999,719,1.8297872340425532,0.2638888888888889,3505,0,34807.06463914853,4,2026-05-19T07:58:58.570016,,,,,,
-5346.999999999997,0.7737809374999999,719,3.3181818181818183,0.4722222222222222,3511,0,31838.63884303235,5,2026-05-19T08:00:08.844260,,,,,,
-4906.111111111107,0.7350918906249998,719,0.3516483516483517,0.125,3509,0,21919.40825407429,6,2026-05-19T08:01:19.643663,,,,,,
-4644.499999999996,0.6983372960937497,719,1.0888888888888888,0.1527777777777778,3510,0,15935.111931929501,7,2026-05-19T08:02:30.315073,,,,,,
-4739.499999999991,0.6634204312890623,719,1.075268817204301,0.2916666666666667,3507,0,17884.222284314365,8,2026-05-19T08:03:41.029687,,,,,,
-4250.555555555558,0.6302494097246091,719,1.288888888888889,0.2638888888888889,3510,0,15910.184113408328,9,2026-05-19T08:04:51.790526,,,,,,
-4043.1666666666647,0.5987369392383786,719,2.3763440860215055,0.2916666666666667,3507,0,10849.069506909154,10,2026-05-19T08:07:06.715253,-2731.999999999999,0.0,0.7325581395348837,0.1527777777777778,3514.0,0.0
-4528.222222222221,0.5688000922764596,719,1.101123595505618,0.2222222222222222,3511,0,9970.12580719843,11,2026-05-19T08:08:17.797520,,,,,,
-4046.722222222224,0.5403600876626365,719,1.1149425287356323,0.20833333333333334,3513,0,9753.399701687491,12,2026-05-19T08:09:28.316258,,,,,,
-3902.5555555555566,0.5133420832795047,719,0.7586206896551724,0.18055555555555555,3512,0,7722.676389267116,13,2026-05-19T08:10:39.865818,,,,,,
-3966.333333333335,0.48767497911552943,719,1.164835164835165,0.2638888888888889,3509,0,5236.971625066765,14,2026-05-19T08:11:50.386749,,,,,,
-3798.77777777778,0.46329123015975293,719,0.28735632183908044,0.125,3513,0,7946.444755962727,15,2026-05-19T08:13:00.647978,,,,,,
-3661.500000000005,0.44012666865176525,719,1.696629213483146,0.2777777777777778,3510,0,6273.2336905563,16,2026-05-19T08:14:11.006234,,,,,,
-3768.6111111111118,0.41812033521917696,719,1.4545454545454546,0.2777777777777778,3512,0,5279.406002331178,17,2026-05-19T08:15:21.994086,,,,,,
-3561.3333333333353,0.3972143184582181,719,1.2584269662921348,0.25,3511,0,4270.034033771351,18,2026-05-19T08:16:32.171569,,,,,,
-3701.1666666666674,0.37735360253530714,719,0.75,0.16666666666666666,3512,0,6347.5274261081995,19,2026-05-19T08:17:42.938629,,,,,,
-3446.6666666666656,0.35848592240854177,719,0.5232558139534884,0.1111111111111111,3513,0,4956.0958735130425,20,2026-05-19T08:19:56.563500,-2768.944444444445,0.0,0.6941176470588235,0.16666666666666666,3515.0,0.0
-3371.8888888888864,0.34056162628811465,719,0.7956989247311828,0.18055555555555555,3507,0,3768.900836164663,21,2026-05-19T08:21:07.651171,,,,,,
-3390.0555555555575,0.3235335449737089,719,0.6976744186046512,0.1527777777777778,3514,0,4017.647865958605,22,2026-05-19T08:22:18.799815,,,,,,
-3407.5555555555547,0.30735686772502346,719,0.7888888888888889,0.1527777777777778,3510,0,3836.383836613577,23,2026-05-19T08:23:29.360531,,,,,,
-3282.888888888887,0.2919890243387723,719,1.3763440860215055,0.2222222222222222,3507,0,4366.849378232996,24,2026-05-19T08:24:40.460721,,,,,,
-3208.999999999995,0.27738957312183365,719,0.1590909090909091,0.08333333333333333,3511,0,3573.001117260632,25,2026-05-19T08:25:51.182325,,,,,,
-3157.3888888888873,0.263520094465742,719,0.5057471264367817,0.16666666666666666,3512,0,4523.620806098482,26,2026-05-19T08:27:01.387050,,,,,,
-3103.4444444444484,0.25034408974245487,719,0.5,0.1111111111111111,3510,0,3819.455771471429,27,2026-05-19T08:28:12.007654,,,,,,
-3100.5,0.2378268852553321,719,1.0555555555555556,0.16666666666666666,3510,0,3117.9522339047576,28,2026-05-19T08:29:22.872582,,,,,,
-3041.333333333339,0.2259355409925655,719,0.13793103448275862,0.06944444444444445,3513,0,2921.754413997348,29,2026-05-19T08:30:32.822297,,,,,,
-3164.3888888888837,0.2146387639429372,719,0.4418604651162791,0.06944444444444445,3514,0,2796.7175990384544,30,2026-05-19T08:32:47.305068,-2661.7777777777796,0.0,0.6235294117647059,0.18055555555555555,3515.0,0.0
-3086.333333333335,0.20390682574579033,719,0.41304347826086957,0.1527777777777778,3508,0,3051.8975278830494,31,2026-05-19T08:34:01.717061,,,,,,
-2981.833333333337,0.1937114844585008,719,0.6823529411764706,0.16666666666666666,3514,0,3503.8215380630177,32,2026-05-19T08:35:12.010680,,,,,,
-3142.0555555555557,0.18402591023557577,719,0.4943820224719101,0.1527777777777778,3510,0,3038.11825723343,33,2026-05-19T08:36:24.499003,,,,,,
-3070.7222222222235,0.17482461472379698,719,1.0459770114942528,0.19444444444444445,3513,0,2671.446610574099,34,2026-05-19T08:37:35.973916,,,,,,
-2893.3888888888896,0.16608338398760714,719,0.7191011235955056,0.16666666666666666,3511,0,3487.528391253136,35,2026-05-19T08:38:45.770177,,,,,,
