reward,epsilon,steps,avg_delay,avg_queue,throughput,arrived_vehicles,departed_vehicles,num_vehicles,emergency_stops,teleport_started,teleport_ended,recovery_active,local_safety_active_tls,local_safety_overrides,episode_mean_avg_delay,episode_max_avg_delay,episode_mean_avg_queue,episode_max_avg_queue,episode_mean_num_vehicles,episode_max_num_vehicles,episode_recovery_steps,episode_local_safety_steps,episode_local_safety_overrides,episode_peak_top_tl,episode_peak_top_tl_queue,episode_peak_top_tl_waiting,episode_peak_top_tl_phase,episode_peak_top_tl_phase_duration,episode_peak_top_tl_action,episode_peak_top_lane,episode_peak_top_lane_queue,episode_peak_top_lane_waiting,loss_rl,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops,eval_teleport_started,eval_teleport_ended,eval_episode_mean_delay,eval_episode_max_delay,eval_episode_mean_queue,eval_episode_max_queue
-7.277546296296298,0.784,719,1.71875,0.25,3502,3502,3598,96,0,0,0,0.0,0,0,1.3359229564666748,4.840425491333008,0.21932469308376312,0.4722222089767456,91.96800994873047,110.0,0,0,0,B1,14.0,172.0,1,28,1,B2B1_1,6.0,75.0,0.0009591333617696897,1,2026-05-23T15:48:06.896961,,,,,,,,,,,,
-7.48354166666667,0.76832,719,2.0927835051546393,0.375,3503,3503,3600,97,0,0,0,0.0,0,0,1.4071942567825317,6.269999980926514,0.22299490869045258,0.6111111044883728,92.3922119140625,111.0,0,0,0,B1,15.0,187.0,0,28,0,C1B1_1,5.0,64.0,0.0006267314976275062,2,2026-05-23T15:49:32.966654,,,,,,,,,,,,
-8.303634259259256,0.7529536,719,18.53913043478261,0.5555555555555556,3485,3485,3600,115,0,0,0,0.0,0,0,1.7065242528915405,18.53913116455078,0.23954953253269196,0.6805555820465088,93.54241943359375,115.0,0,0,0,B2,30.0,1346.0,1,3,1,B1B2_1,10.0,410.0,6.182697090862374e-05,3,2026-05-23T15:50:58.302480,,,,,,,,,,,,
-6.247291666666664,0.737894528,719,1.430232558139535,0.16666666666666666,3513,3513,3599,86,0,0,0,0.0,0,0,1.0220263004302979,4.623762607574463,0.19711019098758698,0.5416666865348816,90.46314239501953,109.0,0,0,0,B1,16.0,253.0,0,43,0,C1B1_0,5.0,72.0,5.0352852651412225e-05,4,2026-05-23T15:52:23.460859,,,,,,,,,,,,
-6.331805555555548,0.72313663744,719,0.4020618556701031,0.1388888888888889,3503,3503,3600,97,0,0,0,0.0,0,0,1.075318694114685,4.255319118499756,0.1979021579027176,0.4305555522441864,90.09735870361328,105.0,0,0,0,B0,12.0,171.0,0,28,0,C0B0_0,6.0,86.0,5.588576188101709e-05,5,2026-05-23T15:55:05.797971,-5.444583333333334,0.0,0.25,0.08333333333333333,3511.0,0.0,0.0,0.0,0.8646737933158875,2.545454502105713,0.17593879997730255,0.3333333432674408
-6.773356481481485,0.7086739046912,719,0.4888888888888889,0.125,3508,3508,3598,90,0,0,0,0.0,0,0,1.1833727359771729,4.959596157073975,0.20885489881038666,0.5277777910232544,91.5257339477539,108.0,0,0,0,C1,20.0,375.0,1,33,1,C0C1_0,6.0,110.0,5.582310229287125e-05,6,2026-05-23T15:56:31.362289,,,,,,,,,,,,
-6.988310185185174,0.694500426597376,719,1.1170212765957446,0.19444444444444445,3506,3506,3600,94,0,0,0,0.0,0,0,1.2306206226348877,4.829999923706055,0.21459200978279114,0.4861111044883728,91.81641387939453,108.0,0,0,0,C1,15.0,121.0,1,13,1,C0C1_1,5.0,40.0,5.626898443586062e-05,7,2026-05-23T15:57:55.668361,,,,,,,,,,,,
-6.116666666666665,0.6806104180654284,719,1.8777777777777778,0.19444444444444445,3508,3508,3598,90,0,0,0,0.0,0,0,1.0236800909042358,4.918367385864258,0.1930149793624878,0.5,89.96800994873047,107.0,0,0,0,A1,14.0,134.0,1,18,1,A2A1_1,8.0,93.0,6.762507289797988e-05,8,2026-05-23T15:59:19.602482,,,,,,,,,,,,
-6.013194444444442,0.6669982097041198,719,0.6483516483516484,0.125,3507,3507,3598,91,0,0,0,0.0,0,0,1.0008536577224731,3.767676830291748,0.19004017114639282,0.4444444477558136,89.307373046875,104.0,0,0,0,C1,16.0,229.0,1,28,1,C0C1_1,5.0,74.0,6.421920761757632e-05,9,2026-05-23T16:00:44.240509,,,,,,,,,,,,
-333.47532407407397,0.6536582455100374,719,1.1666666666666667,0.19444444444444445,3504,3504,3600,96,0,16,16,0.0,0,0,49.89307403564453,324.637939453125,1.5335922241210938,6.44444465637207,217.98748779296875,539.0,294,213,86,B2,273.0,120340.0,1,38,1,B1B2_1,54.0,29102.0,0.012623708606136388,10,2026-05-23T16:03:53.221255,-6.5520138888888875,0.0,0.7444444444444445,0.18055555555555555,3509.0,0.0,0.0,0.0,1.1625971794128418,3.1318681240081787,0.20166897773742676,0.4027777910232544
-6.600046296296301,0.6405850805998367,719,0.5909090909090909,0.1527777777777778,3511,3511,3599,88,0,0,0,0.0,0,0,1.180277943611145,4.4361701011657715,0.20259620249271393,0.4305555522441864,90.45201873779297,108.0,0,0,0,A1,14.0,133.0,1,33,1,A0A1_1,4.0,20.0,0.014207785301328126,11,2026-05-23T16:05:16.839600,,,,,,,,,,,,
-6.05703703703704,0.6277733789878399,719,1.625,0.3472222222222222,3504,3504,3600,96,0,0,0,0.0,0,0,1.0077133178710938,4.072916507720947,0.19141168892383575,0.4722222089767456,89.738525390625,106.0,0,0,0,B1,12.0,178.0,0,38,0,C1B1_1,3.0,54.0,0.01367666505893478,12,2026-05-23T16:06:41.106749,,,,,,,,,,,,
-5.940138888888885,0.6152179114080831,719,0.6477272727272727,0.16666666666666666,3511,3511,3599,88,0,0,0,0.0,0,0,0.9914278388023376,4.402439117431641,0.18770281970500946,0.4722222089767456,89.353271484375,107.0,0,0,0,A1,11.0,87.0,1,18,1,A0A1_0,3.0,29.0,0.012912066650193317,13,2026-05-23T16:08:05.967252,,,,,,,,,,,,
-5.752083333333333,0.6029135531799215,719,0.1566265060240964,0.05555555555555555,3516,3516,3599,83,0,0,0,0.0,0,0,0.948650598526001,3.6483516693115234,0.18269973993301392,0.4444444477558136,89.10709381103516,107.0,0,0,0,B1,13.0,272.0,1,33,1,B2B1_0,5.0,115.0,0.009952938222404138,14,2026-05-23T16:09:30.269888,,,,,,,,,,,,
-5.83777777777777,0.590855282116323,719,0.47058823529411764,0.1388888888888889,3515,3515,3600,85,0,0,0,0.0,0,0,0.965813159942627,4.033708095550537,0.18486323952674866,0.4583333432674408,89.07788848876953,104.0,0,0,0,B2,13.0,105.0,1,18,1,C2B2_1,5.0,26.0,0.011076093525295058,15,2026-05-23T16:12:12.197399,-6.990902777777777,0.0,1.4065934065934067,0.2222222222222222,3509.0,0.0,0.0,0.0,1.2977830171585083,3.9491524696350098,0.21099908649921417,0.4444444477558136
-6.060925925925924,0.5790381764739965,719,1.9782608695652173,0.2777777777777778,3507,3507,3599,92,0,0,0,0.0,0,0,1.0294256210327148,4.032258033752441,0.18998222053050995,0.4583333432674408,89.44784545898438,104.0,0,0,0,B1,15.0,214.0,1,28,1,B2B1_0,5.0,89.0,0.009651811469985193,16,2026-05-23T16:13:36.656144,,,,,,,,,,,,
