reward,epsilon,steps,avg_delay,avg_queue,throughput,arrived_vehicles,departed_vehicles,num_vehicles,emergency_stops,teleport_started,teleport_ended,recovery_active,local_safety_active_tls,local_safety_overrides,episode_mean_avg_delay,episode_max_avg_delay,episode_mean_avg_queue,episode_max_avg_queue,episode_mean_num_vehicles,episode_max_num_vehicles,episode_recovery_steps,episode_local_safety_steps,episode_local_safety_overrides,episode_peak_top_tl,episode_peak_top_tl_queue,episode_peak_top_tl_waiting,episode_peak_top_tl_phase,episode_peak_top_tl_phase_duration,episode_peak_top_tl_action,episode_peak_top_lane,episode_peak_top_lane_queue,episode_peak_top_lane_waiting,loss_rl,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops,eval_teleport_started,eval_teleport_ended,eval_episode_mean_delay,eval_episode_max_delay,eval_episode_mean_queue,eval_episode_max_queue
-117.10472222222214,0.784,719,1.3297872340425532,0.25,3506,3506,3600,94,0,8,8,0.0,0,0,22.869821548461914,248.87533569335938,0.7451321482658386,4.30555534362793,144.2072296142578,395.0,129,89,4,B1,299.0,84371.0,1,13,1,C1B1_1,45.0,13762.0,0.09577113511794579,1,2026-05-24T11:35:46.308933,,,,,,,,,,,,
-6.670787037037045,0.76832,719,0.29213483146067415,0.08333333333333333,3511,3511,3600,89,0,0,0,0.0,0,0,1.1529641151428223,3.857142925262451,0.2061312198638916,0.5138888955116272,91.3490982055664,112.0,0,0,0,B1,14.0,248.0,0,33,0,C1B1_1,5.0,90.0,0.03578785910081346,2,2026-05-24T11:38:45.380147,,,,,,,,,,,,
-6.593680555555555,0.7529536,719,3.5698924731182795,0.3333333333333333,3507,3507,3600,93,0,0,0,0.0,0,0,1.160587191581726,4.413461685180664,0.2028859704732895,0.5,90.51321411132812,105.0,0,0,0,B1,15.0,333.0,0,38,0,A1B1_1,6.0,97.0,0.015488186585930628,3,2026-05-24T11:41:44.224377,,,,,,,,,,,,
-6.482824074074077,0.737894528,719,0.6344086021505376,0.125,3507,3507,3600,93,0,0,0,0.0,0,0,1.096634030342102,3.736363649368286,0.20228710770606995,0.4722222089767456,90.69818878173828,110.0,0,0,0,B1,13.0,161.0,1,33,1,B2B1_0,4.0,48.0,0.013067773314677334,4,2026-05-24T11:44:45.600906,,,,,,,,,,,,
-6.411689814814817,0.72313663744,719,0.532608695652174,0.16666666666666666,3508,3508,3600,92,0,0,0,0.0,0,0,1.1120061874389648,3.70652174949646,0.1988680362701416,0.4305555522441864,90.51182556152344,106.0,0,0,0,B1,12.0,204.0,1,33,1,B0B1_0,5.0,97.0,0.012255519857307603,5,2026-05-24T11:50:31.547544,-6.109189814814805,0.0,0.16853932584269662,0.05555555555555555,3510.0,0.0,0.0,0.0,1.1151881217956543,6.010100841522217,0.1859256774187088,0.4583333432674408
-6.462337962962962,0.7086739046912,719,1.2391304347826086,0.16666666666666666,3508,3508,3600,92,0,0,0,0.0,0,0,1.109392523765564,4.0679612159729,0.2006838321685791,0.5,90.69402313232422,111.0,0,0,0,B0,13.0,159.0,1,28,1,B1B0_1,6.0,70.0,0.010088232590853183,6,2026-05-24T11:53:32.932574,,,,,,,,,,,,
-6.22777777777778,0.694500426597376,719,0.43157894736842106,0.08333333333333333,3504,3504,3599,95,0,0,0,0.0,0,0,1.064443588256836,5.0107526779174805,0.19479215145111084,0.4722222089767456,90.10709381103516,110.0,0,0,0,B1,15.0,284.0,0,38,0,C1B1_1,4.0,104.0,0.00860248626597091,7,2026-05-24T11:56:32.566919,,,,,,,,,,,,
-6.397222222222218,0.6806104180654284,719,0.3956043956043956,0.1111111111111111,3509,3509,3600,91,0,0,0,0.0,0,0,1.0939024686813354,3.8924732208251953,0.19938959181308746,0.4305555522441864,90.59249114990234,111.0,0,0,0,B1,14.0,194.0,1,28,1,B0B1_1,5.0,112.0,0.009662748734118294,8,2026-05-24T11:59:32.568309,,,,,,,,,,,,
-6.49842592592593,0.6669982097041198,719,0.25742574257425743,0.09722222222222222,3499,3499,3600,101,0,0,0,0.0,0,0,1.1243741512298584,4.257731914520264,0.20124401152133942,0.4444444477558136,90.57719421386719,107.0,0,0,0,B1,13.0,250.0,0,38,0,C1B1_1,4.0,93.0,0.008487337839145924,9,2026-05-24T12:02:32.398704,,,,,,,,,,,,
-6.514236111111112,0.6536582455100374,719,0.6666666666666666,0.19444444444444445,3501,3501,3600,99,0,0,0,0.0,0,0,1.1372582912445068,4.568420886993408,0.20157238841056824,0.5,90.46592712402344,105.0,0,0,0,B2,12.0,197.0,0,28,0,C2B2_1,4.0,89.0,0.007534800931197359,10,2026-05-24T12:07:58.575820,-4.685509259259257,0.0,1.0224719101123596,0.2222222222222222,3510.0,0.0,0.0,0.0,0.7030906677246094,1.952380895614624,0.15480606257915497,0.3472222089767456
