============================================================
Training independent_dqn on grid_3x3
Net: D:\ITB\TA\gnn-marl-traffic\data/networks/grid_3x3/grid_3x3.net.xml
Route: D:\ITB\TA\gnn-marl-traffic\data/networks/grid_3x3/grid_3x3.rou.xml
Episodes: 200
Seed: 46 | Deterministic: True
============================================================
Number of agents (traffic lights): 9
Traffic light IDs: ['A1', 'B0', 'A0', 'A2', 'B1', 'B2', 'C0', 'C1', 'C2']
Observation dim: 43
Number of actions: 2
Number of lanes per intersection: 8
Adjacency matrix:
[[1. 0. 1. 1. 1. 0. 0. 0. 0.]
 [0. 1. 1. 0. 1. 0. 1. 0. 0.]
 [1. 1. 1. 0. 0. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0.]
 [1. 1. 0. 0. 1. 1. 0. 1. 0.]
 [0. 0. 0. 1. 1. 1. 0. 0. 1.]
 [0. 1. 0. 0. 0. 0. 1. 1. 0.]
 [0. 0. 0. 0. 1. 0. 1. 1. 1.]
 [0. 0. 0. 0. 0. 1. 0. 1. 1.]]
Episode    1 | reward: -5544.7222 | epsilon: 0.9970 | steps: 719 | avg_delay: 1.0761 | avg_queue: 0.3056 | throughput: 3508 | emergency_stops: 0 | loss_rl: 205.6569
Episode    2 | reward: -6258.2222 | epsilon: 0.9940 | steps: 719 | avg_delay: 0.2105 | avg_queue: 0.0833 | throughput: 3504 | emergency_stops: 0 | loss_rl: 76.9850
Episode    3 | reward: -6040.7222 | epsilon: 0.9910 | steps: 719 | avg_delay: 2.7447 | avg_queue: 0.3194 | throughput: 3504 | emergency_stops: 0 | loss_rl: 40.9628
Episode    4 | reward: -5985.9444 | epsilon: 0.9881 | steps: 719 | avg_delay: 0.6854 | avg_queue: 0.1528 | throughput: 3509 | emergency_stops: 0 | loss_rl: 25.8071
Episode    5 | reward: -6712.0000 | epsilon: 0.9851 | steps: 719 | avg_delay: 0.3936 | avg_queue: 0.1250 | throughput: 3506 | emergency_stops: 0 | loss_rl: 29.2504
Episode    6 | reward: -5822.9444 | epsilon: 0.9821 | steps: 719 | avg_delay: 2.1839 | avg_queue: 0.2361 | throughput: 3512 | emergency_stops: 0 | loss_rl: 32.7065
Episode    7 | reward: -5426.6667 | epsilon: 0.9792 | steps: 719 | avg_delay: 2.0920 | avg_queue: 0.3194 | throughput: 3513 | emergency_stops: 0 | loss_rl: 28.4988
Episode    8 | reward: -6670.7778 | epsilon: 0.9763 | steps: 719 | avg_delay: 2.0693 | avg_queue: 0.2778 | throughput: 3498 | emergency_stops: 1 | loss_rl: 27.2250
Episode    9 | reward: -6092.3889 | epsilon: 0.9733 | steps: 719 | avg_delay: 1.6047 | avg_queue: 0.2778 | throughput: 3514 | emergency_stops: 0 | loss_rl: 28.5663
Episode   10 | reward: -5847.8333 | epsilon: 0.9704 | steps: 719 | avg_delay: 1.1348 | avg_queue: 0.1528 | throughput: 3510 | emergency_stops: 0 | loss_rl: 28.3611
Episode   11 | reward: -5498.4444 | epsilon: 0.9675 | steps: 719 | avg_delay: 1.6237 | avg_queue: 0.2222 | throughput: 3506 | emergency_stops: 0 | loss_rl: 27.8944
Episode   12 | reward: -5010.1111 | epsilon: 0.9646 | steps: 719 | avg_delay: 1.4607 | avg_queue: 0.2222 | throughput: 3510 | emergency_stops: 0 | loss_rl: 27.7329
Episode   13 | reward: -5759.5000 | epsilon: 0.9617 | steps: 719 | avg_delay: 1.4896 | avg_queue: 0.2500 | throughput: 3502 | emergency_stops: 0 | loss_rl: 27.8035
Episode   14 | reward: -5207.7222 | epsilon: 0.9588 | steps: 719 | avg_delay: 0.9101 | avg_queue: 0.1389 | throughput: 3510 | emergency_stops: 0 | loss_rl: 25.9198
Episode   15 | reward: -5173.3333 | epsilon: 0.9559 | steps: 719 | avg_delay: 1.5761 | avg_queue: 0.3056 | throughput: 3507 | emergency_stops: 0 | loss_rl: 26.2276
Episode   16 | reward: -5478.3333 | epsilon: 0.9531 | steps: 719 | avg_delay: 0.8681 | avg_queue: 0.1528 | throughput: 3508 | emergency_stops: 0 | loss_rl: 26.1189
Episode   17 | reward: -5345.5000 | epsilon: 0.9502 | steps: 719 | avg_delay: 0.2500 | avg_queue: 0.1250 | throughput: 3511 | emergency_stops: 0 | loss_rl: 26.6307
Episode   18 | reward: -5300.5000 | epsilon: 0.9474 | steps: 719 | avg_delay: 1.8462 | avg_queue: 0.2222 | throughput: 3509 | emergency_stops: 0 | loss_rl: 26.6529
Episode   19 | reward: -5464.6667 | epsilon: 0.9445 | steps: 719 | avg_delay: 2.1304 | avg_queue: 0.3333 | throughput: 3507 | emergency_stops: 0 | loss_rl: 26.6975
Episode   20 | reward: -5337.5556 | epsilon: 0.9417 | steps: 719 | avg_delay: 1.6596 | avg_queue: 0.1806 | throughput: 3506 | emergency_stops: 0 | loss_rl: 27.2061
Episode   21 | reward: -5339.8889 | epsilon: 0.9389 | steps: 719 | avg_delay: 1.5909 | avg_queue: 0.2917 | throughput: 3512 | emergency_stops: 0 | loss_rl: 27.7462
Episode   22 | reward: -5480.1111 | epsilon: 0.9360 | steps: 719 | avg_delay: 2.1031 | avg_queue: 0.2500 | throughput: 3502 | emergency_stops: 0 | loss_rl: 27.3107
Episode   23 | reward: -5010.1667 | epsilon: 0.9332 | steps: 719 | avg_delay: 0.7586 | avg_queue: 0.1111 | throughput: 3512 | emergency_stops: 0 | loss_rl: 27.3778
Episode   24 | reward: -5519.1667 | epsilon: 0.9304 | steps: 719 | avg_delay: 1.4828 | avg_queue: 0.2639 | throughput: 3511 | emergency_stops: 0 | loss_rl: 27.7274
Episode   25 | reward: -5031.2222 | epsilon: 0.9276 | steps: 719 | avg_delay: 0.6875 | avg_queue: 0.1528 | throughput: 3503 | emergency_stops: 0 | loss_rl: 27.8483
Episode   26 | reward: -5261.5000 | epsilon: 0.9249 | steps: 719 | avg_delay: 1.3627 | avg_queue: 0.3194 | throughput: 3497 | emergency_stops: 0 | loss_rl: 29.3869
Episode   27 | reward: -4839.8333 | epsilon: 0.9221 | steps: 719 | avg_delay: 1.3587 | avg_queue: 0.2639 | throughput: 3508 | emergency_stops: 0 | loss_rl: 29.5676
Episode   28 | reward: -5622.6667 | epsilon: 0.9193 | steps: 719 | avg_delay: 1.2473 | avg_queue: 0.2778 | throughput: 3506 | emergency_stops: 0 | loss_rl: 29.1610
Episode   29 | reward: -4587.4444 | epsilon: 0.9166 | steps: 719 | avg_delay: 0.6146 | avg_queue: 0.2083 | throughput: 3504 | emergency_stops: 0 | loss_rl: 30.1290
Episode   30 | reward: -4688.6667 | epsilon: 0.9138 | steps: 719 | avg_delay: 1.6477 | avg_queue: 0.2083 | throughput: 3512 | emergency_stops: 0 | loss_rl: 29.7483
Episode   31 | reward: -5113.6111 | epsilon: 0.9111 | steps: 719 | avg_delay: 0.3977 | avg_queue: 0.0833 | throughput: 3510 | emergency_stops: 0 | loss_rl: 29.5378
Episode   32 | reward: -4874.8889 | epsilon: 0.9083 | steps: 719 | avg_delay: 0.2247 | avg_queue: 0.0833 | throughput: 3511 | emergency_stops: 0 | loss_rl: 30.1469
Episode   33 | reward: -4762.6111 | epsilon: 0.9056 | steps: 719 | avg_delay: 1.6854 | avg_queue: 0.2639 | throughput: 3510 | emergency_stops: 0 | loss_rl: 30.0667
Episode   34 | reward: -4897.3889 | epsilon: 0.9029 | steps: 719 | avg_delay: 1.5506 | avg_queue: 0.2083 | throughput: 3510 | emergency_stops: 0 | loss_rl: 29.4097
Episode   35 | reward: -5149.9444 | epsilon: 0.9002 | steps: 719 | avg_delay: 0.4659 | avg_queue: 0.1528 | throughput: 3511 | emergency_stops: 0 | loss_rl: 29.7665
Episode   36 | reward: -4861.0556 | epsilon: 0.8975 | steps: 719 | avg_delay: 2.0323 | avg_queue: 0.2917 | throughput: 3507 | emergency_stops: 0 | loss_rl: 29.4369
Episode   37 | reward: -4822.6667 | epsilon: 0.8948 | steps: 719 | avg_delay: 0.7742 | avg_queue: 0.2361 | throughput: 3506 | emergency_stops: 0 | loss_rl: 29.9343
Episode   38 | reward: -5080.5000 | epsilon: 0.8921 | steps: 719 | avg_delay: 0.5567 | avg_queue: 0.1528 | throughput: 3503 | emergency_stops: 0 | loss_rl: 29.7901
Episode   39 | reward: -5010.9444 | epsilon: 0.8894 | steps: 719 | avg_delay: 1.0538 | avg_queue: 0.2639 | throughput: 3506 | emergency_stops: 0 | loss_rl: 30.0516
Episode   40 | reward: -4621.7222 | epsilon: 0.8868 | steps: 719 | avg_delay: 0.7303 | avg_queue: 0.2083 | throughput: 3510 | emergency_stops: 0 | loss_rl: 30.0380
Episode   41 | reward: -4917.8889 | epsilon: 0.8841 | steps: 719 | avg_delay: 3.0326 | avg_queue: 0.4306 | throughput: 3507 | emergency_stops: 0 | loss_rl: 29.7677
Episode   42 | reward: -4761.1111 | epsilon: 0.8814 | steps: 719 | avg_delay: 0.2000 | avg_queue: 0.0833 | throughput: 3513 | emergency_stops: 0 | loss_rl: 30.3474
Episode   43 | reward: -4751.0556 | epsilon: 0.8788 | steps: 719 | avg_delay: 2.3542 | avg_queue: 0.4028 | throughput: 3504 | emergency_stops: 0 | loss_rl: 29.0814
Episode   44 | reward: -4917.1667 | epsilon: 0.8762 | steps: 719 | avg_delay: 0.7423 | avg_queue: 0.2361 | throughput: 3502 | emergency_stops: 0 | loss_rl: 29.2942
Episode   45 | reward: -4956.6111 | epsilon: 0.8735 | steps: 719 | avg_delay: 0.7222 | avg_queue: 0.1806 | throughput: 3509 | emergency_stops: 0 | loss_rl: 29.7645
Episode   46 | reward: -4462.1667 | epsilon: 0.8709 | steps: 719 | avg_delay: 0.9000 | avg_queue: 0.2222 | throughput: 3509 | emergency_stops: 0 | loss_rl: 29.6561
Episode   47 | reward: -5053.2778 | epsilon: 0.8683 | steps: 719 | avg_delay: 0.6383 | avg_queue: 0.1806 | throughput: 3506 | emergency_stops: 0 | loss_rl: 29.3268
Episode   48 | reward: -4763.7222 | epsilon: 0.8657 | steps: 719 | avg_delay: 1.3333 | avg_queue: 0.2778 | throughput: 3500 | emergency_stops: 0 | loss_rl: 29.9975
Episode   49 | reward: -3888.8333 | epsilon: 0.8631 | steps: 719 | avg_delay: 1.4333 | avg_queue: 0.2639 | throughput: 3509 | emergency_stops: 0 | loss_rl: 29.7032
