intersection_id,phase_id,cycle_s,offset_s,total_lost_time_s,sum_critical_ratio,oversaturated,cycle_clamped,critical_ratio,green_s,intergreen_s,yellow_s,all_red_s
A0,1,40.0,0.0,10.0,0.463653,False,True,0.235028,15.207,5.0,3.0,2.0
A0,2,40.0,0.0,10.0,0.463653,False,True,0.228625,14.793,5.0,3.0,2.0
A1,1,40.0,18.0,10.0,0.447097,False,True,0.228542,15.335,5.0,3.0,2.0
A1,2,40.0,18.0,10.0,0.447097,False,True,0.218556,14.665,5.0,3.0,2.0
A2,1,40.0,36.0,10.0,0.491722,False,True,0.247042,15.072,5.0,3.0,2.0
A2,2,40.0,36.0,10.0,0.491722,False,True,0.244681,14.928,5.0,3.0,2.0
B0,1,40.0,18.0,10.0,0.456056,False,True,0.22375,14.719,5.0,3.0,2.0
B0,2,40.0,18.0,10.0,0.456056,False,True,0.232306,15.281,5.0,3.0,2.0
B1,1,40.0,36.0,10.0,0.463722,False,True,0.227333,14.707,5.0,3.0,2.0
B1,2,40.0,36.0,10.0,0.463722,False,True,0.236389,15.293,5.0,3.0,2.0
B2,1,40.0,54.0,10.0,0.459486,False,True,0.227597,14.86,5.0,3.0,2.0
B2,2,40.0,54.0,10.0,0.459486,False,True,0.231889,15.14,5.0,3.0,2.0
C0,1,40.0,36.0,10.0,0.448514,False,True,0.228722,15.299,5.0,3.0,2.0
C0,2,40.0,36.0,10.0,0.448514,False,True,0.219792,14.701,5.0,3.0,2.0
C1,1,40.0,54.0,10.0,0.476944,False,True,0.243111,15.292,5.0,3.0,2.0
C1,2,40.0,54.0,10.0,0.476944,False,True,0.233833,14.708,5.0,3.0,2.0
C2,1,40.0,72.0,10.0,0.446833,False,True,0.216083,14.508,5.0,3.0,2.0
C2,2,40.0,72.0,10.0,0.446833,False,True,0.23075,15.492,5.0,3.0,2.0
