intersection_id,phase_id,cycle_s,offset_s,total_lost_time_s,sum_critical_ratio,oversaturated,cycle_clamped,critical_ratio,green_s,intergreen_s,yellow_s,all_red_s
A0,1,65.711,0.0,10.0,0.695639,False,False,0.352361,28.219,5.0,3.0,2.0
A0,2,65.711,0.0,10.0,0.695639,False,False,0.343278,27.492,5.0,3.0,2.0
A1,1,60.721,18.0,10.0,0.670625,False,False,0.342833,25.929,5.0,3.0,2.0
A1,2,60.721,18.0,10.0,0.670625,False,False,0.327792,24.792,5.0,3.0,2.0
A2,1,76.32,36.0,10.0,0.737944,False,False,0.370722,33.317,5.0,3.0,2.0
A2,2,76.32,36.0,10.0,0.737944,False,False,0.367222,33.003,5.0,3.0,2.0
B0,1,63.28,18.0,10.0,0.683944,False,False,0.335486,26.135,5.0,3.0,2.0
B0,2,63.28,18.0,10.0,0.683944,False,False,0.348458,27.145,5.0,3.0,2.0
B1,1,65.738,36.0,10.0,0.695764,False,False,0.341,27.318,5.0,3.0,2.0
B1,2,65.738,36.0,10.0,0.695764,False,False,0.354764,28.421,5.0,3.0,2.0
B2,1,64.389,54.0,10.0,0.689389,False,False,0.341556,26.947,5.0,3.0,2.0
B2,2,64.389,54.0,10.0,0.689389,False,False,0.347833,27.442,5.0,3.0,2.0
C0,1,61.131,36.0,10.0,0.672833,False,False,0.342944,26.062,5.0,3.0,2.0
C0,2,61.131,36.0,10.0,0.672833,False,False,0.329889,25.069,5.0,3.0,2.0
C1,1,70.288,54.0,10.0,0.715458,False,False,0.364847,30.744,5.0,3.0,2.0
C1,2,70.288,54.0,10.0,0.715458,False,False,0.350611,29.544,5.0,3.0,2.0
C2,1,60.678,72.0,10.0,0.670389,False,False,0.324444,24.526,5.0,3.0,2.0
C2,2,60.678,72.0,10.0,0.670389,False,False,0.345944,26.151,5.0,3.0,2.0
